Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Protein Transport (GO:0015031)	5.039084e-08	1.312351e-04	0	0	2.117487e+00	3.558110e+01	VPS29;STEAP3;TFRC;CLSTN3;PDCD6;CLU;ARL6IP5;TOM1;VPS35;GOLGA7;SIL1;NSF;ARRDC1;PRKCB;TANGO2;STX8;STX7;SCAMP1;SCAMP3;SCAMP2;PDIA4;RUFY1;RAB32;RAB31;TFR2;RAB35;ERP29;SCG5;RAB38;ZG16;SCG2;GPLD1;OPTN;MACF1;COPB2;COPA;RAB5B;RAB5C;TMED10;SAR1A;STXBP3;MTTP;STXBP2;SEL1L;VPS26C;VPS26A;VPS26B;LTBP3;HSP90B1;TIMM50;SCFD1;SNX1;SCFD2;MYO6;TBC1D13;SNX9;APOE;APOB;RAB6A;RAB11FIP3;RAB6B;SPTBN1;SNX6;CTSA;GSDMD;HSPA9;SURF4;LRP1B;EHD1;CHMP2A;GNAS;RAB5A;ARF4;CLTC;ARHGAP1;AP2A1;MIA3;VLDLR;CHMP1B;TMED2;CD36;TMED7;TMED5;TMED4;YWHAH;TMED9;FGG;AP3B1;COPZ1;DNM2;RCN3;CTTN;CANX;MYH9;ARHGEF2;ARF5;ARF6;RAB7A;STX12;RAB1A;RAMP3;STX16;RAB1B;USO1;ASAP1;NAPG;STX11;HDAC6;RAB21;STX6;STX4;CD74;CMTM6;AP3D1;RAB11A;ARCN1;WDR11;RAB10;SEC23IP;SNX18;RAB14;SNX17;RAB18;RAB3GAP2;COPG2;COPG1;VPS45
GO_Biological_Process_2025	Positive Regulation of Cellular Component Organization (GO:0051130)	5.699680e-08	1.312351e-04	0	0	4.607501e+00	7.685436e+01	CAMK2B;VCP;CD151;TFRC;AHNAK;DCTN1;FAF1;NRXN1;BRK1;ASAP1;PARK7;CLU;ADD1;CDH5;LGALS3;LMAN1;RELN;FLOT1;RACK1;RPS3;APOE;BID;CORIN;S100A10;SNCA;SH3GLB1;TMED9;TGFB1;GPX1;TMEM30A;ANXA2;SYK;SURF4;MMP3;BMP7;APOA5;MPP7;WARS1;DAB2;TFR2;APOC2;BAX;CAMK1;SHANK3
GO_Biological_Process_2025	Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742)	1.010788e-07	1.355464e-04	0	0	3.202728e+00	5.158751e+01	ITGB1;CD84;ITGAM;PTPRS;ITGB2;LRRC4;ITGAL;CELSR2;PKD1;CDH8;PTPRF;ICAM1;CDH6;CDH5;ALCAM;CDH2;BSG;HMCN2;SCARF1;CLDN5;SELENOP;CDH11;PECAM1;CDH13;DSG1;DSG2;CDH15;CDH17;CDH19;NLGN1;NRXN1;NEXN;UMOD;ATP2C1;SLITRK1;CDH22;CDH23;CDH24;GPC4;LRRC4B;CADM4;VCAM1;CADM1;CADM2;CRTAM;PCDHGC3;PCDHB14;L1CAM;SDK1;SELL;CD209;PLXNB3;FAT2;PCDHB5;PLXNB2;DCHS1;ESAM;FAT4;SDK2;NECTIN2;CBLN1
GO_Biological_Process_2025	Positive Regulation of Cell Migration (GO:0030335)	1.177385e-07	1.355464e-04	0	0	2.147615e+00	3.426477e+01	SPARC;CSF1;PDCD6;CLSTN1;EMC10;CIB1;CRKL;MYLK;CDH5;AKT2;BSG;KDR;AKT1;CPNE3;ACVR1;PDGFRB;PDGFRA;SEMA6D;ADAM10;ACTN4;ADAM17;CLDN3;PLAA;PFN1;GPLD1;IGSF8;CSF1R;CEMIP;CD151;NOTCH1;PDGFA;FBLN1;RTN4;SDCBP;VTN;RRAS;PDCD10;PODXL;PDGFD;PDGFC;PLCG2;NCKAP1L;S100A11;CARMIL1;HSPA8;TGFB1;HSPA5;RDX;FN1;IGF1;PTK2;COL1A1;DAB2;FER;PROC;PTPRC;CASS4;CALR;FERMT2;FERMT3;ITGB1;NRP1;DOCK5;NRP2;FLT4;ITGB3;MIA3;PIK3CB;CX3CL1;VSIR;PIK3CG;PPP3CA;GLIPR2;C1QBP;RACK1;CTSH;MADCAM1;MMP7;ANXA3;F7;MMP14;KIT;ANGPTL3;NUMB;PECAM1;CDH13;ITGA6;ARHGEF2;ARHGEF7;DDR2;LRRC15;ROCK2;SRC;SEMA3B;CXCR4;THBS1;HDAC6;PPM1F;CDC42;GPNMB;MGAT5;CCL5;PTK2B;STX4;MAP4K4;CHGA;SPAG9;DMTN;ANGPT1;EGF;SEMA4B;STAT3;LAMB1;SOD2;RAB11A;PKN1
GO_Biological_Process_2025	Integrin-Mediated Signaling Pathway (GO:0007229)	2.228765e-07	2.052693e-04	0	0	3.563291e+00	5.457768e+01	ITGB1;NRP1;ITGAM;ITGB5;ITGB3;ITGA2B;ITGB2;PLEK;ILK;ITGAE;ITGAL;PPP3CA;ADAMTS1;ITGAV;MADCAM1;ITGA4;SYK;ITGA2;ADAM10;HCK;ADAM15;ANGPTL3;ITGA7;MYH9;ITGA6;CD47;ITGA5;CDH17;LAMA5;SRC;CUL3;FBLN1;CDC42;VTN;ADAMTS13;PTK2B;FYB1;MPIG6B;ERBIN;FN1;PTK2;COL3A1;DAB2;CD40LG;TEC;PTPRA;ITGA11;ZYX;CCM2;FERMT2;FERMT3
GO_Biological_Process_2025	Supramolecular Fiber Organization (GO:0097435)	4.016242e-07	2.894097e-04	0	0	2.261850e+00	3.331195e+01	APP;HSP90AB1;TNFAIP6;SH3KBP1;COL14A1;COL12A1;INPPL1;PLOD3;CIB1;PLOD2;PLOD1;ARHGAP6;LOXL1;PPP1R9B;EFEMP2;ADAMTS2;SLK;RAC2;EMILIN1;CD36;EMD;AGFG1;CAP1;TMOD1;TPM4;TPM3;ACTN1;TMOD3;TPM1;RHOG;RHOF;ARAP1;CKAP5;RHOA;CD2AP;CLIP2;CLIP1;KIF2A;LOX;ELMO1;HCLS1;TAGLN2;ARHGEF2;MYL9;DBN1;DDR2;TNXB;FLII;COL11A2;LTBP4;DPT;SLAIN2;LTBP3;CORO1A;CORO1B;FBLN5;CORO1C;MTM1;CNN2;SPTA1;CDC42;MYO6;SERPINH1;MAP4;BID;SNCA;CARMIL1;DYNC1H1;CRTAP;MARCKSL1;USP9X;LUM;MYO5A;TBCB;HOOK3;ARHGAP25;COL1A1;FKBP1A;MFAP4;COL3A1;DLG1;MARCKS;COL1A2;BMP1;COL5A1;P4HA1;COL5A3;COL5A2;FAT1;BAX;TLL2;TLL1;VIM;TARDBP;MYO1G
GO_Biological_Process_2025	Regulation of Cell Migration (GO:0030334)	4.399280e-07	2.894097e-04	0	0	1.901989e+00	2.783876e+01	SERPINE2;CSF1;SERPINE1;CLSTN1;CIB1;MYLK;DOCK10;CDH5;SLK;TNN;AKT2;DAG1;KDR;AKT1;TNR;CPNE3;ACVR1;PDGFRB;PDGFRA;IGFBP5;SEMA6D;TPM1;ADAM10;ACTN4;CLDN5;ADAM17;CLDN3;ADAM15;S100A9;VCL;CSF1R;IGSF8;MACF1;CEMIP;CD151;NOTCH1;CUL5;PDGFA;STC1;RTN4;CORO1C;SDCBP;PDCD10;PODXL;PDGFD;PDGFC;PLXNA4;CARMIL1;HSPA8;JAG1;TGFB1;HSPA5;RDX;IGF1;CYRIB;PTK2;COL1A1;BST2;DAB2;FER;PROC;STK24;STK26;PLXNB3;CASS4;PLXNB2;PLXNB1;FERMT2;FERMT3;ITGB1;BMP10;CLIC4;FLT4;MIA3;PTPRJ;PTPRK;VSIR;CX3CL1;ARHGAP4;PPP3CA;RACK1;EMILIN2;CTSH;EMILIN1;APPL2;APPL1;SERPINB1;ANXA1;DUSP3;MMP7;MINK1;RHOA;DUSP22;TGFBR3;F7;MMP14;RAP2A;RAP2B;KIF2A;KIT;CDH11;MMRN2;ANGPTL3;NUMB;PECAM1;CDH13;ITGA6;CAMK2B;LRRC15;TNXB;ROCK1;ROCK2;SRC;SEMA3B;CAMK2A;CXCR4;NEXN;THBS1;PPM1F;CDC42;RELN;GPNMB;CCL5;MGAT5;LMNA;FLNA;PTK2B;STX4;MAP4K4;SPAG9;CHGA;CD74;EGF;SEMA4B;STAT3;MEAK7;LAMB1;PODN;SOD2;SORL1;PKN1
GO_Biological_Process_2025	Regulation of Protein Localization to Plasma Membrane (GO:1903076)	8.450288e-07	4.864197e-04	0	0	4.001657e+00	5.595875e+01	ITGB1;CAMK2B;LRRC15;CAMK2D;RAMP3;NRXN1;CLTC;CAMK2A;VPS4A;CIB1;PIK3R1;LGALS3;PGRMC1;CNPY4;KIF5B;AKT1;STX4;LDLRAP1;CAMK2G;AP2M1;SPTBN1;APPL1;PLS1;VTI1B;TGFB1;STX8;STX7;RHOG;ATP2B4;VAMP8;TMEM59;MMP14;DAB2;DLG1;WNK1;TMBIM1;NUMB;SQSTM1;ARF6;BCL2L1;PICALM
GO_Biological_Process_2025	Cell-Matrix Adhesion (GO:0007160)	1.275005e-06	6.523777e-04	0	0	2.988718e+00	4.056455e+01	ITGB1;ECM2;ITGAM;ITGB5;ITGB3;ITGA2B;ITGB2;ILK;ITGAE;PTPRK;ITGAL;ARHGAP6;PKD1;TNN;EMILIN1;ITGAV;MADCAM1;CD34;FGB;CD96;FGA;ITGA4;ITGA2;FGG;NPNT;BCAM;ADAM15;CTTN;CDH11;ANGPTL3;ITGA7;ITGA6;ITGA5;ARHGEF7;VCL;CD44;CD63;SRC;NID2;THSD1;FBLN5;THBS3;VTN;ADAMTS13;VCAM1;FN1;L1CAM;LYVE1;COL3A1;PARVG;ITGA11;ZYX;HPSE;FERMT2;FERMT3
GO_Biological_Process_2025	Calcium-Dependent Cell-Cell Adhesion via Plasma Membrane Cell Adhesion Molecules (GO:0016339)	3.046001e-06	1.402683e-03	0	0	1.020361e+01	1.296030e+02	NLGN1;NRXN1;PCDHGC3;PCDHB14;CDH8;CDH6;CDH5;CDH2;SELL;CDH22;CDH11;SELENOP;CDH23;CDH24;CDH13;DSG1;PCDHB5;DCHS1;CDH15;CDH17;CDH19
