term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0018149,0.3767795,17.78862,118.7328,TGM1;FN1;F13A1,Peptide Cross-Linking (GO:0018149)
GO:0061043,0.3767795,52.99194,327.9016,SLC12A2;SMOC2,Regulation of Vascular Wound Healing (GO:0061043)
GO:0051122,0.3767795,52.99194,327.9016,ALOX12B;ALOXE3,Hepoxilin Biosynthetic Process (GO:0051122)
GO:0051121,0.3767795,52.99194,327.9016,ALOX12B;ALOXE3,Hepoxilin Metabolic Process (GO:0051121)
GO:0019372,0.3767795,52.99194,327.9016,ALOX12B;ALOXE3,Lipoxygenase Pathway (GO:0019372)
GO:0050830,0.3950815,7.39853,42.49961,CHGA;DMBT1;ANG;PGLYRP1,Defense Response to Gram-positive Bacterium (GO:0050830)
GO:0043651,0.3950815,35.32258,200.9615,ALOX12B;ALOXE3,Linoleic Acid Metabolic Process (GO:0043651)
GO:1900746,0.3950815,10.66341,58.07609,SMOC2;DCN;VEGFA,Regulation of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)
GO:1902455,0.3950815,26.4879,140.2858,HDAC2;LOXL2,Negative Regulation of Stem Cell Population Maintenance (GO:1902455)
GO:1902969,0.3950815,26.4879,140.2858,GINS3;MCM3,Mitotic DNA Replication (GO:1902969)
GO:2000036,0.3950815,9.995427,52.85722,HDAC2;WDR43;LOXL2,Regulation of Stem Cell Population Maintenance (GO:2000036)
GO:0019730,0.3950815,5.953552,30.01695,DMBT1;ANG;PGLYRP1;PRSS2,Antimicrobial Humoral Response (GO:0019730)
GO:1905606,0.3950815,21.1871,105.3442,SLITRK3;GPC4,Regulation of Presynapse Assembly (GO:1905606)
GO:0099174,0.3950815,21.1871,105.3442,SLITRK3;GPC4,Regulation of Presynapse Organization (GO:0099174)
GO:0006690,0.3950815,8.41335,40.9384,CPA1;ALOX12B;ALOXE3,Icosanoid Metabolic Process (GO:0006690)
GO:0042759,0.3950815,17.65323,82.91261,ALOX12B;ALOXE3,Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)
GO:0006643,0.3950815,17.65323,82.91261,ALOX12B;ALOXE3,Membrane Lipid Metabolic Process (GO:0006643)
GO:2001028,0.3950815,15.12903,67.44122,SMOC2;VEGFA,Positive Regulation of Endothelial Cell Chemotaxis (GO:2001028)
GO:0099560,0.3950815,15.12903,67.44122,SLITRK3;GPC4,Synaptic Membrane Adhesion (GO:0099560)
GO:0170041,0.3950815,13.23589,56.21127,DPEP1;ABAT,Non-Proteinogenic Amino Acid Metabolic Process (GO:0170041)
GO:1900748,0.3950815,13.23589,56.21127,SMOC2;VEGFA,Positive Regulation of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900748)
GO:0043542,0.3950815,6.388293,26.78452,FN1;LOXL2;VEGFA,Endothelial Cell Migration (GO:0043542)
GO:0010232,0.3950815,6.388293,26.78452,SLC12A2;SLC16A1;SLC7A1,Vascular Transport (GO:0010232)
GO:0061844,0.3950815,6.141651,25.16311,DMBT1;ANG;PGLYRP1,Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844)
GO:2001026,0.3950815,11.76344,47.74176,SMOC2;VEGFA,Regulation of Endothelial Cell Chemotaxis (GO:2001026)
GO:0098773,0.3950815,11.76344,47.74176,ALOX12B;ALOXE3,Skin Epidermis Development (GO:0098773)
GO:0055002,0.3950815,11.76344,47.74176,SDC1;VEGFA,Striated Muscle Cell Development (GO:0055002)
GO:0061436,0.3950815,11.76344,47.74176,ALOX12B;ALOXE3,Establishment of Skin Barrier (GO:0061436)
GO:0150104,0.3950815,5.913279,23.68461,SLC12A2;SLC16A1;SLC7A1,Transport Across Blood-Brain Barrier (GO:0150104)
GO:1903352,0.3950815,inf,inf,SLC7A1,L-ornithine Transmembrane Transport (GO:1903352)
GO:0015802,0.3950815,inf,inf,SLC7A1,Basic Amino Acid Transport (GO:0015802)
GO:0090190,0.3950815,inf,inf,VEGFA,Positive Regulation of Branching Involved in Ureteric Bud Morphogenesis (GO:0090190)
GO:0010893,0.3950815,inf,inf,CHGA,Positive Regulation of Steroid Biosynthetic Process (GO:0010893)
GO:0051383,0.3950815,inf,inf,SUGT1,Kinetochore Organization (GO:0051383)
GO:0033604,0.3950815,inf,inf,CHGA,Negative Regulation of Catecholamine Secretion (GO:0033604)
GO:0006665,0.3950815,5.319512,19.95032,ALOX12B;ALOXE3;ENPP7,Sphingolipid Metabolic Process (GO:0006665)
GO:2000278,0.3950815,9.621701,35.9236,SMOC2;VEGFA,Regulation of DNA Biosynthetic Process (GO:2000278)
GO:0046329,0.3950815,9.621701,35.9236,DNAJA1;SIRPA,Negative Regulation of JNK Cascade (GO:0046329)
GO:0042742,0.3950815,3.154108,11.41195,CHGA;GSDMA;DMBT1;ANG;PGLYRP1,Defense Response to Bacterium (GO:0042742)
GO:0019731,0.3950815,8.818548,31.6733,DMBT1;ANG,Antibacterial Humoral Response (GO:0019731)
GO:0019369,0.3950815,8.818548,31.6733,ALOX12B;ALOXE3,Arachidonate Metabolic Process (GO:0019369)
GO:0072378,0.3950815,8.818548,31.6733,F13A1;F13B,"Blood Coagulation, Fibrin Clot Formation (GO:0072378)"
GO:0072376,0.3950815,8.818548,31.6733,F13A1;F13B,Protein Activation Cascade (GO:0072376)
GO:0030336,0.3950815,3.08065,10.89036,HDAC2;DPEP1;EMILIN2;SRGAP2;DCN,Negative Regulation of Cell Migration (GO:0030336)
GO:0046942,0.3950815,8.138958,28.16703,SLC16A1;SLC7A1,Carboxylic Acid Transport (GO:0046942)
GO:1901890,0.3950815,4.690818,16.18715,SLITRK3;S100A10;VEGFA,Positive Regulation of Cell Junction Assembly (GO:1901890)
GO:0030198,0.3950815,2.94342,9.937669,SMOC2;COL4A2;TLL2;PRSS2;LOXL2,Extracellular Matrix Organization (GO:0030198)
GO:0051894,0.3950815,7.556452,25.23413,VEGFA;S100A10,Positive Regulation of Focal Adhesion Assembly (GO:0051894)
GO:0032466,0.3950815,52.576,172.9574,ZFYVE19,Negative Regulation of Cytokinesis (GO:0032466)
GO:1903748,0.3950815,52.576,172.9574,DNAJA1,Negative Regulation of Establishment of Protein Localization to Mitochondrion (GO:1903748)
GO:0072488,0.3950815,52.576,172.9574,SLC12A2,Ammonium Transmembrane Transport (GO:0072488)
GO:0009132,0.3950815,52.576,172.9574,RRM1,Nucleoside Diphosphate Metabolic Process (GO:0009132)
GO:1901897,0.3950815,52.576,172.9574,CHGA,Regulation of Relaxation of Cardiac Muscle (GO:1901897)
GO:0048593,0.3950815,52.576,172.9574,VEGFA,Camera-Type Eye Morphogenesis (GO:0048593)
GO:0034508,0.3950815,52.576,172.9574,SUGT1,Centromere Complex Assembly (GO:0034508)
GO:0002065,0.3950815,52.576,172.9574,PKP1,Columnar/Cuboidal Epithelial Cell Differentiation (GO:0002065)
GO:0032332,0.3950815,52.576,172.9574,LOXL2,Positive Regulation of Chondrocyte Differentiation (GO:0032332)
GO:2000234,0.3950815,52.576,172.9574,WDR43,Positive Regulation of rRNA Processing (GO:2000234)
GO:0045989,0.3950815,52.576,172.9574,CHGA,Positive Regulation of Striated Muscle Contraction (GO:0045989)
GO:0051382,0.3950815,52.576,172.9574,SUGT1,Kinetochore Assembly (GO:0051382)
GO:1905553,0.3950815,52.576,172.9574,VEGFA,Regulation of Blood Vessel Branching (GO:1905553)
GO:2000146,0.3950815,3.334529,10.85196,HDAC2;DPEP1;EMILIN2;SRGAP2,Negative Regulation of Cell Motility (GO:2000146)
GO:0045765,0.3950815,2.817747,9.090987,SMOC2;COL4A2;EMILIN2;DCN;VEGFA,Regulation of Angiogenesis (GO:0045765)
GO:0006261,0.3950815,6.609879,20.62793,RRM1;MCM3,DNA-templated DNA Replication (GO:0006261)
GO:0046513,0.3950815,6.609879,20.62793,ALOX12B;ALOXE3,Ceramide Biosynthetic Process (GO:0046513)
GO:0001706,0.3950815,6.609879,20.62793,COL4A2;FN1,Endoderm Formation (GO:0001706)
GO:0033559,0.3950815,6.220114,18.79513,ALOX12B;ALOXE3,Unsaturated Fatty Acid Metabolic Process (GO:0033559)
GO:0035987,0.3950815,5.873656,17.2005,COL4A2;FN1,Endodermal Cell Differentiation (GO:0035987)
GO:0016525,0.3950815,3.703914,10.74793,SLC12A2;COL4A2;DCN,Negative Regulation of Angiogenesis (GO:0016525)
GO:1903747,0.3950815,26.284,76.05394,DNAJA1,Regulation of Establishment of Protein Localization to Mitochondrion (GO:1903747)
GO:1903826,0.3950815,26.284,76.05394,SLC7A1,L-arginine Transmembrane Transport (GO:1903826)
GO:0015917,0.3950815,26.284,76.05394,SCARB2,Aminophospholipid Transport (GO:0015917)
GO:0010944,0.3950815,26.284,76.05394,HDAC2,Negative Regulation of Transcription by Competitive Promoter Binding (GO:0010944)
GO:1900736,0.3950815,26.284,76.05394,CHGA,Regulation of Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:1900736)
GO:1990822,0.3950815,26.284,76.05394,SLC7A1,Basic Amino Acid Transmembrane Transport (GO:1990822)
GO:2000232,0.3950815,26.284,76.05394,WDR43,Regulation of rRNA Processing (GO:2000232)
GO:0042475,0.3950815,26.284,76.05394,HDAC2,Odontogenesis of Dentin-Containing Tooth (GO:0042475)
GO:0035357,0.3950815,26.284,76.05394,ALOXE3,Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035357)
GO:0055064,0.3950815,26.284,76.05394,SLC12A2,Chloride Ion Homeostasis (GO:0055064)
GO:0090103,0.3950815,26.284,76.05394,NECTIN1,Cochlea Morphogenesis (GO:0090103)
GO:0001878,0.3950815,26.284,76.05394,ANG,Response to Yeast (GO:0001878)
GO:0031290,0.3950815,26.284,76.05394,VEGFA,Retinal Ganglion Cell Axon Guidance (GO:0031290)
GO:1903589,0.3950815,26.284,76.05394,VEGFA,+ Reg of Blood Vessel Endothelial Cell Proliferation Inv in Sprouting Angiogenesis (GO:1903589)
GO:1905278,0.3950815,26.284,76.05394,VEGFA,Positive Regulation of Epithelial Tube Formation (GO:1905278)
GO:0051146,0.3950815,26.284,76.05394,SDC1,Striated Muscle Cell Differentiation (GO:0051146)
GO:0030321,0.3950815,26.284,76.05394,SLC12A2,Transepithelial Chloride Transport (GO:0030321)
GO:0055089,0.3950815,26.284,76.05394,ENPP7,Fatty Acid Homeostasis (GO:0055089)
GO:0097084,0.3950815,26.284,76.05394,VEGFA,Vascular Associated Smooth Muscle Cell Development (GO:0097084)
GO:0007214,0.3950815,26.284,76.05394,SLC12A2,Gamma-Aminobutyric Acid Signaling Pathway (GO:0007214)
GO:0048845,0.3950815,26.284,76.05394,VEGFA,Venous Blood Vessel Morphogenesis (GO:0048845)
GO:0008347,0.3950815,26.284,76.05394,VCAN,Glial Cell Migration (GO:0008347)
GO:0002052,0.3950815,26.284,76.05394,VEGFA,Positive Regulation of Neuroblast Proliferation (GO:0002052)
GO:0070828,0.3950815,26.284,76.05394,LOXL2,Heterochromatin Organization (GO:0070828)
GO:1904862,0.3950815,26.284,76.05394,SRGAP2,Inhibitory Synapse Assembly (GO:1904862)
GO:0035773,0.3950815,26.284,76.05394,PTPRN2,Insulin Secretion Involved in Cellular Response to Glucose Stimulus (GO:0035773)
GO:0045110,0.3950815,26.284,76.05394,PKP1,Intermediate Filament Bundle Assembly (GO:0045110)
GO:1901165,0.3950815,26.284,76.05394,VEGFA,Positive Regulation of Trophoblast Cell Migration (GO:1901165)
GO:0034755,0.3950815,26.284,76.05394,SCARA5,Iron Ion Transmembrane Transport (GO:0034755)
GO:0006089,0.3950815,26.284,76.05394,LDHAL6B,Lactate Metabolic Process (GO:0006089)
GO:0006264,0.3950815,26.284,76.05394,RRM1,Mitochondrial DNA Replication (GO:0006264)
GO:0031573,0.3950815,26.284,76.05394,MDC1,Mitotic intra-S DNA Damage Checkpoint Signaling (GO:0031573)
GO:0055081,0.3950815,26.284,76.05394,SLC12A2,Monoatomic Anion Homeostasis (GO:0055081)
GO:0048841,0.3950815,26.284,76.05394,VEGFA,Regulation of Axon Extension Involved in Axon Guidance (GO:0048841)
GO:0090189,0.3950815,26.284,76.05394,VEGFA,Regulation of Branching Involved in Ureteric Bud Morphogenesis (GO:0090189)
GO:1903532,0.3950815,3.61918,10.31162,SLC12A2;ANG;S100A10,Positive Regulation of Secretion by Cell (GO:1903532)
GO:0006672,0.3950815,5.563667,15.80313,ALOX12B;ALOXE3,Ceramide Metabolic Process (GO:0006672)
GO:0150117,0.3950815,5.563667,15.80313,VEGFA;S100A10,Positive Regulation of Cell-Substrate Junction Organization (GO:0150117)
GO:0030855,0.3950815,3.460764,9.510471,HDAC2;DMBT1;VEGFA,Epithelial Cell Differentiation (GO:0030855)
GO:1904018,0.3950815,3.460764,9.510471,SMOC2;EMILIN2;VEGFA,Positive Regulation of Vasculature Development (GO:1904018)
GO:1900424,0.3950815,17.52,45.81795,EMILIN2,Regulation of Defense Response to Bacterium (GO:1900424)
GO:0071897,0.3950815,17.52,45.81795,RRM1,DNA Biosynthetic Process (GO:0071897)
GO:0000076,0.3950815,17.52,45.81795,MDC1,DNA Replication Checkpoint Signaling (GO:0000076)
GO:0010832,0.3950815,17.52,45.81795,CEACAM5,Negative Regulation of Myotube Differentiation (GO:0010832)
GO:2001223,0.3950815,17.52,45.81795,SRGAP2,Negative Regulation of Neuron Migration (GO:2001223)
GO:0045019,0.3950815,17.52,45.81795,SIRPA,Negative Regulation of Nitric Oxide Biosynthetic Process (GO:0045019)
GO:1904406,0.3950815,17.52,45.81795,SIRPA,Negative Regulation of Nitric Oxide Metabolic Process (GO:1904406)
GO:1905671,0.3950815,17.52,45.81795,SCARB2,Regulation of Lysosome Organization (GO:1905671)
GO:0060753,0.3950815,17.52,45.81795,VEGFA,Regulation of Mast Cell Chemotaxis (GO:0060753)
GO:0071880,0.3950815,17.52,45.81795,CHGA,Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway (GO:0071880)
GO:1902692,0.3950815,17.52,45.81795,VEGFA,Regulation of Neuroblast Proliferation (GO:1902692)
GO:0048483,0.3950815,17.52,45.81795,FN1,Autonomic Nervous System Development (GO:0048483)
GO:0007589,0.3950815,17.52,45.81795,VEGFA,Body Fluid Secretion (GO:0007589)
GO:1903555,0.3950815,17.52,45.81795,SIRPA,Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903555)
GO:0042461,0.3950815,17.52,45.81795,VEGFA,Photoreceptor Cell Development (GO:0042461)
GO:0035865,0.3950815,17.52,45.81795,SLC12A2,Cellular Response to Potassium Ion (GO:0035865)
GO:0035864,0.3950815,17.52,45.81795,SLC12A2,Response to Potassium Ion (GO:0035864)
GO:0060977,0.3950815,17.52,45.81795,VEGFA,Coronary Vasculature Morphogenesis (GO:0060977)
GO:0055078,0.3950815,17.52,45.81795,SLC12A2,Sodium Ion Homeostasis (GO:0055078)
GO:0098719,0.3950815,17.52,45.81795,SLC12A2,Sodium Ion Import Across Plasma Membrane (GO:0098719)
GO:1904690,0.3950815,17.52,45.81795,PKP1,Positive Regulation of Cytoplasmic Translational Initiation (GO:1904690)
GO:0035767,0.3950815,17.52,45.81795,VEGFA,Endothelial Cell Chemotaxis (GO:0035767)
GO:0001754,0.3950815,17.52,45.81795,VEGFA,Eye Photoreceptor Cell Differentiation (GO:0001754)
GO:0036324,0.3950815,17.52,45.81795,VEGFA,Vascular Endothelial Growth Factor Receptor-2 Signaling Pathway (GO:0036324)
GO:0045940,0.3950815,17.52,45.81795,CHGA,Positive Regulation of Steroid Metabolic Process (GO:0045940)
GO:0006883,0.3950815,17.52,45.81795,SLC12A2,Intracellular Sodium Ion Homeostasis (GO:0006883)
GO:0007595,0.3950815,17.52,45.81795,VEGFA,Lactation (GO:0007595)
GO:1990573,0.3950815,17.52,45.81795,SLC12A2,Potassium Ion Import Across Plasma Membrane (GO:1990573)
GO:0042789,0.3950815,17.52,45.81795,S100A10,mRNA Transcription by RNA Polymerase II (GO:0042789)
GO:0001765,0.3950815,17.52,45.81795,S100A10,Membrane Raft Assembly (GO:0001765)
GO:0045346,0.3950815,17.52,45.81795,HDAC2,Regulation of MHC Class II Biosynthetic Process (GO:0045346)
GO:0030224,0.3950815,17.52,45.81795,VEGFA,Monocyte Differentiation (GO:0030224)
GO:0034248,0.3950815,17.52,45.81795,SCARB2,Regulation of Amide Metabolic Process (GO:0034248)
GO:0008156,0.3950815,17.52,45.81795,ENPP7,Negative Regulation of DNA Replication (GO:0008156)
GO:0043508,0.3950815,17.52,45.81795,DNAJA1,Negative Regulation of JUN Kinase Activity (GO:0043508)
GO:1905603,0.3950815,17.52,45.81795,VEGFA,Regulation of Blood-Brain Barrier Permeability (GO:1905603)
GO:0051782,0.3950815,17.52,45.81795,ZFYVE19,Negative Regulation of Cell Division (GO:0051782)
GO:0071649,0.3950815,17.52,45.81795,SIRPA,Regulation of Chemokine (C-C Motif) Ligand 5 Production (GO:0071649)
GO:0010594,0.3950815,3.247387,8.462767,SMOC2;DCN;VEGFA,Regulation of Endothelial Cell Migration (GO:0010594)
GO:0045229,0.3950815,3.247387,8.462767,TGM1;SMOC2;COL4A2,External Encapsulating Structure Organization (GO:0045229)
GO:0034446,0.3950815,4.802786,12.50292,FN1;SRGAP2,Substrate Adhesion-Dependent Cell Spreading (GO:0034446)
GO:0009913,0.3950815,4.802786,12.50292,TGM1;HDAC2,Epidermal Cell Differentiation (GO:0009913)
GO:0031507,0.3950815,4.802786,12.50292,HDAC2;H2AC21,Heterochromatin Formation (GO:0031507)
GO:0090303,0.3950815,4.802786,12.50292,SMOC2;EMILIN2,Positive Regulation of Wound Healing (GO:0090303)
GO:0051049,0.3950815,4.593268,11.62965,DNAJA1;PTPRN2,Regulation of Transport (GO:0051049)
GO:0032465,0.3950815,4.40121,10.84386,ZFYVE19;BIRC6,Regulation of Cytokinesis (GO:0032465)
GO:2000573,0.3950815,4.40121,10.84386,SMOC2;VEGFA,Positive Regulation of DNA Biosynthetic Process (GO:2000573)
GO:0050829,0.3950815,4.40121,10.84386,CHGA;DMBT1,Defense Response to Gram-negative Bacterium (GO:0050829)
GO:0043069,0.3950815,1.923982,4.726641,DNAJA1;HDAC2;SON;CEACAM5;ANG;BIRC6;VEGFA,Negative Regulation of Programmed Cell Death (GO:0043069)
GO:0098742,0.3950815,2.502604,6.134997,CEACAM5;SLITRK3;GPC4;NECTIN1,Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742)
GO:0044089,0.3950815,3.00046,7.298337,CHGA;SDC1;VEGFA,Positive Regulation of Cellular Component Biogenesis (GO:0044089)
GO:0050679,0.3950815,3.00046,7.298337,TGM1;ANG;VEGFA,Positive Regulation of Epithelial Cell Proliferation (GO:0050679)
GO:0019724,0.3950815,13.138,31.54861,IGLL1,B Cell Mediated Immunity (GO:0019724)
GO:0006270,0.3950815,13.138,31.54861,MCM3,DNA Replication Initiation (GO:0006270)
GO:0006271,0.3950815,13.138,31.54861,MCM3,DNA Strand Elongation Involved in DNA Replication (GO:0006271)
GO:0045005,0.3950815,13.138,31.54861,BOD1L1,DNA-templated DNA Replication Maintenance of Fidelity (GO:0045005)
GO:1903551,0.3950815,13.138,31.54861,SDC1,Regulation of Extracellular Exosome Assembly (GO:1903551)
GO:0046676,0.3950815,13.138,31.54861,CHGA,Negative Regulation of Insulin Secretion (GO:0046676)
GO:0010818,0.3950815,13.138,31.54861,SLC12A2,T Cell Chemotaxis (GO:0010818)
GO:0051764,0.3950815,13.138,31.54861,EPS8,Actin Crosslink Formation (GO:0051764)
GO:0051154,0.3950815,13.138,31.54861,CEACAM5,Negative Regulation of Striated Muscle Cell Differentiation (GO:0051154)
GO:0019732,0.3950815,13.138,31.54861,ANG,Antifungal Humoral Response (GO:0019732)
GO:1900747,0.3950815,13.138,31.54861,DCN,Negative Regulation of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900747)
GO:1905684,0.3950815,13.138,31.54861,S100A10,Regulation of Plasma Membrane Repair (GO:1905684)
GO:0050926,0.3950815,13.138,31.54861,VEGFA,Regulation of Positive Chemotaxis (GO:0050926)
GO:0055007,0.3950815,13.138,31.54861,VEGFA,Cardiac Muscle Cell Differentiation (GO:0055007)
GO:0071349,0.3950815,13.138,31.54861,SIRPA,Cellular Response to Interleukin-12 (GO:0071349)
GO:0071732,0.3950815,13.138,31.54861,DPEP1,Cellular Response to Nitric Oxide (GO:0071732)
GO:0017062,0.3950815,13.138,31.54861,UQCRFS1,Respiratory Chain Complex III Assembly (GO:0017062)
GO:1902170,0.3950815,13.138,31.54861,DPEP1,Cellular Response to Reactive Nitrogen Species (GO:1902170)
GO:0046688,0.3950815,13.138,31.54861,LOXL2,Response to Copper Ion (GO:0046688)
GO:0071679,0.3950815,13.138,31.54861,VEGFA,Commissural Neuron Axon Guidance (GO:0071679)
GO:0042572,0.3950815,13.138,31.54861,SDR9C7,Retinol Metabolic Process (GO:0042572)
GO:0061036,0.3950815,13.138,31.54861,LOXL2,Positive Regulation of Cartilage Development (GO:0061036)
GO:0002159,0.3950815,13.138,31.54861,PKP1,Desmosome Assembly (GO:0002159)
GO:0002934,0.3950815,13.138,31.54861,PKP1,Desmosome Organization (GO:0002934)
GO:0042733,0.3950815,13.138,31.54861,HDAC2,Embryonic Digit Morphogenesis (GO:0042733)
GO:0045743,0.3950815,13.138,31.54861,SMOC2,Positive Regulation of Fibroblast Growth Factor Receptor Signaling Pathway (GO:0045743)
GO:0033148,0.3950815,13.138,31.54861,HDAC2,Positive Regulation of Intracellular Estrogen Receptor Signaling Pathway (GO:0033148)
GO:0045618,0.3950815,13.138,31.54861,PKP1,Positive Regulation of Keratinocyte Differentiation (GO:0045618)
GO:0010838,0.3950815,13.138,31.54861,TGM1,Positive Regulation of Keratinocyte Proliferation (GO:0010838)
GO:0070633,0.3950815,13.138,31.54861,SLC12A2,Transepithelial Transport (GO:0070633)
GO:0042462,0.3950815,13.138,31.54861,VEGFA,Eye Photoreceptor Cell Development (GO:0042462)
GO:1904181,0.3950815,13.138,31.54861,DCN,Positive Regulation of Membrane Depolarization (GO:1904181)
GO:0061042,0.3950815,13.138,31.54861,VEGFA,Vascular Wound Healing (GO:0061042)
GO:2000179,0.3950815,13.138,31.54861,VEGFA,Positive Regulation of Neural Precursor Cell Proliferation (GO:2000179)
GO:0006751,0.3950815,13.138,31.54861,DPEP1,Glutathione Catabolic Process (GO:0006751)
GO:0050667,0.3950815,13.138,31.54861,DPEP1,Homocysteine Metabolic Process (GO:0050667)
GO:0051047,0.3950815,13.138,31.54861,ALOX12B,Positive Regulation of Secretion (GO:0051047)
GO:0050930,0.3950815,13.138,31.54861,VEGFA,Induction of Positive Chemotaxis (GO:0050930)
GO:0030007,0.3950815,13.138,31.54861,SLC12A2,Intracellular Potassium Ion Homeostasis (GO:0030007)
GO:0034440,0.3950815,13.138,31.54861,ALOX12B,Lipid Oxidation (GO:0034440)
GO:1990166,0.3950815,13.138,31.54861,MDC1,Protein Localization to Site of Double-Strand Break (GO:1990166)
GO:0032042,0.3950815,13.138,31.54861,RRM1,Mitochondrial DNA Metabolic Process (GO:0032042)
GO:0034551,0.3950815,13.138,31.54861,UQCRFS1,Mitochondrial Respiratory Chain Complex III Assembly (GO:0034551)
GO:0030832,0.3950815,13.138,31.54861,EPS8,Regulation of Actin Filament Length (GO:0030832)
GO:1902369,0.3950815,13.138,31.54861,PKP1,Negative Regulation of RNA Catabolic Process (GO:1902369)
GO:0050921,0.3950815,4.224516,10.13396,SMOC2;VEGFA,Positive Regulation of Chemotaxis (GO:0050921)
GO:0045785,0.3950815,2.944444,7.041768,PKP1;PRSS2;VEGFA,Positive Regulation of Cell Adhesion (GO:0045785)
GO:0045766,0.3950815,2.890466,6.797293,SMOC2;EMILIN2;VEGFA,Positive Regulation of Angiogenesis (GO:0045766)
GO:0045814,0.3950815,4.061414,9.490259,HDAC2;H2AC21,"Negative Regulation of Gene Expression, Epigenetic (GO:0045814)"
GO:0006986,0.3950815,4.061414,9.490259,DNAJA1;HSPA4L,Response to Unfolded Protein (GO:0006986)
GO:0007157,0.3950815,4.061414,9.490259,CEACAM5;NECTIN1,Heterophilic Cell-Cell Adhesion via Plasma Membrane Cell Adhesion Molecules (GO:0007157)
GO:0042127,0.3950815,1.716039,4.0097,CHGA;JAG2;AZGP1;HDAC2;FN1;EMILIN2;BIRC6;VEGFA;ENPP7,Regulation of Cell Population Proliferation (GO:0042127)
GO:0045944,0.3950815,1.773638,4.117154,CHGA;HDAC2;BCLAF1;SATB2;PKP1;DCN;VEGFA;S100A10,Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)
GO:0051963,0.3950815,3.910394,8.904594,SLITRK3;GPC4,Regulation of Synapse Assembly (GO:0051963)
GO:0045787,0.3950815,3.910394,8.904594,TGM1;SMOC2,Positive Regulation of Cell Cycle (GO:0045787)
GO:1902531,0.3950815,2.080643,4.687645,SASH3;ARHGAP30;VWF;SRGAP2;VEGFA,Regulation of Intracellular Signal Transduction (GO:1902531)
GO:0022616,0.3950815,10.5088,23.41637,MCM3,DNA Strand Elongation (GO:0022616)
GO:0032688,0.3950815,10.5088,23.41637,SIRPA,Negative Regulation of Interferon-Beta Production (GO:0032688)
GO:0090278,0.3950815,10.5088,23.41637,CHGA,Negative Regulation of Peptide Hormone Secretion (GO:0090278)
GO:0051900,0.3950815,10.5088,23.41637,DCN,Regulation of Mitochondrial Depolarization (GO:0051900)
GO:0071635,0.3950815,10.5088,23.41637,FN1,Negative Regulation of Transforming Growth Factor Beta Production (GO:0071635)
GO:0080164,0.3950815,10.5088,23.41637,SIRPA,Regulation of Nitric Oxide Metabolic Process (GO:0080164)
GO:0001569,0.3950815,10.5088,23.41637,VEGFA,Branching Involved in Blood Vessel Morphogenesis (GO:0001569)
GO:0055006,0.3950815,10.5088,23.41637,VEGFA,Cardiac Cell Development (GO:0055006)
GO:0010971,0.3950815,10.5088,23.41637,RRM1,Positive Regulation of G2/M Transition of Mitotic Cell Cycle (GO:0010971)
GO:0002821,0.3950815,10.5088,23.41637,SASH3,Positive Regulation of Adaptive Immune Response (GO:0002821)
GO:0016045,0.3950815,10.5088,23.41637,PGLYRP1,Detection of Bacterium (GO:0016045)
GO:0023061,0.3950815,10.5088,23.41637,KPNA4,Signal Release (GO:0023061)
GO:0071542,0.3950815,10.5088,23.41637,VEGFA,Dopaminergic Neuron Differentiation (GO:0071542)
GO:0000727,0.3950815,10.5088,23.41637,MCM3,Double-Strand Break Repair via Break-Induced Replication (GO:0000727)
GO:0042554,0.3950815,10.5088,23.41637,CYBB,Superoxide Anion Generation (GO:0042554)
GO:0045823,0.3950815,10.5088,23.41637,CHGA,Positive Regulation of Heart Contraction (GO:0045823)
GO:0033145,0.3950815,10.5088,23.41637,HDAC2,Positive Regulation of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033145)
GO:0046847,0.3950815,10.5088,23.41637,SRGAP2,Filopodium Assembly (GO:0046847)
GO:0006664,0.3950815,10.5088,23.41637,FUCA1,Glycolipid Metabolic Process (GO:0006664)
GO:0031954,0.3950815,10.5088,23.41637,VEGFA,Positive Regulation of Protein Autophosphorylation (GO:0031954)
GO:0007599,0.3950815,10.5088,23.41637,VWF,Hemostasis (GO:0007599)
GO:0016064,0.3950815,10.5088,23.41637,IGLL1,Immunoglobulin Mediated Immune Response (GO:0016064)
GO:0009299,0.3950815,10.5088,23.41637,S100A10,mRNA Transcription (GO:0009299)
GO:0018158,0.3950815,10.5088,23.41637,LOXL2,Protein Oxidation (GO:0018158)
GO:0090329,0.3950815,10.5088,23.41637,MCM3,Regulation of DNA-templated DNA Replication (GO:0090329)
GO:0030174,0.3950815,10.5088,23.41637,MCM3,Regulation of DNA-templated DNA Replication Initiation (GO:0030174)
