Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Category
prerank,Reactome_Pathways_2024__APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,0.676853613901067,2.473555468972142,0.0,0.0,0.0,29/34,26.25%,PSMB1;PSMA6;PSMB3;PSMB4;PSMB5;PSMC4;PSMA7;PSMB7;PSMD2;PSMC2;PSMD11;PSMC5;PSMD13;PSMC6;PSMC3;PSMC1;PSMD1;PSMA4;PSMD6;PSMD14;PSMD7;PSMA5;PSMA1;PSMB2;PSMA2;PSMA3;PSMD12;PSMD8;PSMD3,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Securin,0.676853613901067,2.473555468972142,0.0,0.0,0.0,29/34,26.25%,PSMB1;PSMA6;PSMB3;PSMB4;PSMB5;PSMC4;PSMA7;PSMB7;PSMD2;PSMC2;PSMD11;PSMC5;PSMD13;PSMC6;PSMC3;PSMC1;PSMD1;PSMA4;PSMD6;PSMD14;PSMD7;PSMA5;PSMA1;PSMB2;PSMA2;PSMA3;PSMD12;PSMD8;PSMD3,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.6652776129786138,2.451302413352429,0.0,0.0,0.0,29/35,26.25%,PSMB1;PSMA6;PSMB3;PSMB4;PSMB5;PSMC4;PSMA7;PSMB7;PSMD2;PSMC2;PSMD11;PSMC5;PSMD13;PSMC6;PSMC3;PSMC1;PSMD1;PSMA4;PSMD6;PSMD14;PSMD7;PSMA5;PSMA1;PSMB2;PSMA2;PSMA3;PSMD12;PSMD8;PSMD3,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.6652776129786138,2.451302413352429,0.0,0.0,0.0,29/35,26.25%,PSMB1;PSMA6;PSMB3;PSMB4;PSMB5;PSMC4;PSMA7;PSMB7;PSMD2;PSMC2;PSMD11;PSMC5;PSMD13;PSMC6;PSMC3;PSMC1;PSMD1;PSMA4;PSMD6;PSMD14;PSMD7;PSMA5;PSMA1;PSMB2;PSMA2;PSMA3;PSMD12;PSMD8;PSMD3,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint,0.6652776129786138,2.451302413352429,0.0,0.0,0.0,29/35,26.25%,PSMB1;PSMA6;PSMB3;PSMB4;PSMB5;PSMC4;PSMA7;PSMB7;PSMD2;PSMC2;PSMD11;PSMC5;PSMD13;PSMC6;PSMC3;PSMC1;PSMD1;PSMA4;PSMD6;PSMD14;PSMD7;PSMA5;PSMA1;PSMB2;PSMA2;PSMA3;PSMD12;PSMD8;PSMD3,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C-mediated Degradation of Cell Cycle Proteins,0.6593713123011591,2.4441212010488704,0.0,0.0,0.0,30/37,26.25%,PSMB1;PSMA6;PSMB3;PSMB4;PSMB5;PSMC4;PSMA7;PSMB7;PSMD2;PSMC2;PSMD11;PSMC5;PSMD13;PSMC6;PSMC3;PSMC1;PSMD1;PSMA4;PSMD6;PSMD14;PSMD7;PSMA5;PSMA1;PSMB2;PSMA2;PSMA3;SKP1;PSMD12;PSMD8;PSMD3,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__AUF1 (hnRNP D0) Binds and Destabilizes mRNA,0.6433425561499454,2.3681144591385284,0.0,0.0,0.0,30/35,26.25%,PSMB1;PSMA6;PSMB3;PSMB4;PSMB5;PSMC4;PSMA7;EIF4G1;PSMB7;PSMD2;PSMC2;PSMD11;PSMC5;PSMD13;PSMC6;PSMC3;PSMC1;PSMD1;PSMA4;PSMD6;PSMD14;PSMD7;PSMA5;PSMA1;PSMB2;PSMA2;PSMA3;PSMD12;PSMD8;PSMD3,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ABC Transporter Disorders,0.5966111516807696,2.239062759736904,0.0,0.0004449174823924,0.004,28/40,21.74%,PSMB1;PSMA6;PSMB3;PSMB4;PSMB5;PSMC4;PSMA7;PSMB7;PSMD2;PSMC2;PSMD11;PSMC5;PSMD13;PSMC6;PSMC3;PSMC1;PSMD1;PSMA4;VCP;PSMD6;PSMD14;PSMD7;PSMA5;PSMA1;PSMB2;PSMA2;PSMA3;PSMD12,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ABC-family Proteins Mediated Transport,0.5340616911363348,2.085734539421248,0.0,0.0134688656033362,0.119,31/53,21.74%,PSMB1;PSMA6;PSMB3;PSMB4;PSMB5;PSMC4;PSMA7;PSMB7;EIF2S1;PSMD2;PSMC2;PSMD11;PSMC5;PSMD13;PSMC6;PSMC3;PSMC1;PSMD1;PSMA4;VCP;PSMD6;PSMD14;ABCC4;PSMD7;PSMA5;PSMA1;PSMB2;PSMA2;EIF2S2;PSMA3;PSMD12,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Aberrant Regulation of Mitotic Cell Cycle Due to RB1 Defects,-0.6721423682409309,-1.8054379882484648,0.010752688172043,1.0,0.946,5/5,32.89%,UBE2C;ANAPC1;CDK2;CDC16;CDKN1A,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__AURKA Activation by TPX2,0.5164046417198039,1.7769415212280053,0.001025641025641,0.1832144020875652,1.0,17/23,33.43%,DYNC1H1;DCTN1;DCTN2;CKAP5;PPP2R1A;TUBB4A;PRKAR2B;ACTR1A;MAPRE1;DCTN3;TUBB;YWHAG;HSP90AA1;YWHAE;PRKACA;TUBA4A;TUBB4B,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ABC Transporters in Lipid Homeostasis,-0.622861054072553,-1.704636845731656,0.0421052631578947,0.5098250563042818,0.995,5/5,37.81%,APOA1;PEX3;PEX19;ABCD1;ABCD3,Reactome_Pathways_2024
