Protein_Group	Genes	IgG_dox+_vs_IgG_dox-_logFC	IgG_dox+_vs_IgG_dox-_pval	Removed?	Contaminant?
Q86X76	NIT1	6.73896296428726	2.95180413610086e-15	No	No
Q86YH2	ZNF280B	5.49142724288721	0.0001183327574229	No	No
Q86Z20	CCDC125	6.19216003944213	2.73256551765776e-19	No	No
Q8IV48	ERI1	4.35618490715944	5.6603607339718294e-11	No	No
Q8IWY9	CDAN1	6.81697632998162	2.8936156429728497e-16	No	No
Q8IX12	CCAR1	6.91248338322186	2.1080325704371898e-22	No	No
Q8IXZ2	ZC3H3	4.6045798975367	6.04117864299155e-05	No	No
Q8IY57	YAF2	5.28517798695947	1.27948910401752e-13	No	No
Q8IZT6	ASPM	4.0995700951311	2.2743768865359e-11	No	No
Q8N5P1	ZC3H8	6.18854167133273	3.53819762984989e-21	No	No
Q8N954	GPATCH11	5.2409657291543	1.56837058537349e-14	No	No
Q8N983	MRPL43	4.30567424438151	3.76340829104006e-18	No	No
Q8N9N5	BANP	5.54275595955933	9.322086073695509e-18	No	No
Q8NC60	NOA1	4.23854316385896	6.09747026165537e-07	No	No
Q8NEZ4	KMT2C	6.03726455818297	4.47188691303785e-10	No	No
Q8WVM0	TFB1M	3.96341243944046	1.61116491185675e-08	No	No
Q92896	GLG1	5.52321817627747	5.024679747025129e-11	No	No
Q96AA3	RFT1	3.88928561548176	0.0012759272144879	No	No
Q96CG3	TIFA	4.67966034787219	1.80631595227294e-08	No	No
Q96ES7	SGF29	4.69652700572491	3.6334104185041803e-09	No	No
Q96EV2	RBM33	4.86280120324073	1.33190531772266e-16	No	No
Q96GD3	SCMH1	7.56050879820853	9.20478854097053e-17	No	No
Q96I25	RBM17	5.10585033579062	6.2986515540394e-13	No	No
Q96IY4	CPB2	4.85821805437951	3.971993370192161e-09	No	No
Q96L91	EP400	4.82485429432193	3.47381299097433e-11	No	No
Q96N96	SPATA13	4.07032738209459	3.03964381713244e-08	No	No
Q96QC0	PPP1R10	4.82597372536805	1.7246470313261401e-09	No	No
Q96R06	SPAG5	9.23884632407416	1.73830091572434e-22	No	No
Q96RK0	CIC	4.33033574396521	1.81004722862208e-08	No	No
Q96RT8	TUBGCP5	5.08632422482452	8.88451975609235e-14	No	No
Q96ST2	IWS1	4.4116067810719	2.19117760544217e-06	No	No
Q96T21	SECISBP2	4.24483471332498	0.0014967838281448	No	No
Q99417	MYCBP	4.00283740328826	1.31713746885116e-08	No	No
Q99622	C12orf57	4.76137404858056	0.0001458011072879	No	No
Q99743	NPAS2	4.85881326401848	5.90598514018953e-14	No	No
Q9BWJ5	SF3B5	4.15127383590539	4.879369561023e-11	No	No
Q9BYC8	MRPL32	6.69904673887352	4.47555601617728e-20	No	No
Q9BYC9	MRPL20	4.41107260012237	2.87773562611365e-14	No	No
Q9BZF1	OSBPL8	6.21440173172906	5.1296623731479295e-11	No	No
Q9C0E8	LNPK	3.92795133229335	0.0001162070812599	No	No
Q9GZR2	REXO4	4.20670919791864	0.0003611085763196	No	No
Q9H116	GZF1	5.25231922414524	1.85614180295557e-05	No	No
Q9H4A6	GOLPH3	4.88743551973217	3.4284938270959604e-14	No	No
Q9H4I2	ZHX3	4.20076575905628	1.46877217268056e-21	No	No
Q9H9A5	CNOT10	5.59750661322202	3.72724439533843e-08	No	No
Q9H9J2	MRPL44	4.64569137632676	1.21821872303626e-15	No	No
Q9HA38	ZMAT3	4.77969372290069	1.79554271383924e-16	No	No
Q9HAN9	NMNAT1	4.45254422223221	3.24324162963718e-08	No	No
Q9HBZ2	ARNT2	5.5804992728251	3.75346526092394e-16	No	No
Q9HC35	EML4	5.76714068162635	1.730767896353e-18	No	No
Q9HC52	CBX8	4.90779987190477	1.27979241138948e-13	No	No
Q9NQ11	ATP13A2	6.07606412929009	5.698584823681571e-15	No	No
Q9NQ50	MRPL40	4.20513492984609	7.67992912192345e-08	No	No
Q9NR48	ASH1L	3.97316510445302	5.668481348535181e-09	No	No
Q9NUD5	ZCCHC3	4.15353009215661	7.09736432491859e-08	No	No
Q9NVS2	MRPS18A	4.85565513544691	1.3765611851090301e-09	No	No
Q9NZE8	MRPL35	5.75724734133828	1.20128921533295e-18	No	No
Q9NZM1	MYOF	3.8836585387452	2.19438453888779e-16	No	No
Q9P015	MRPL15	3.89144539048292	4.8527662937305895e-11	No	No
Q9UDW3	ZMAT5	7.17191648121426	3.9867434103951303e-19	No	No
Q9ULL5	PRR12	4.90010550618189	1.60141748292188e-10	No	No
Q9UN86	G3BP2	4.12484156966507	1.17733958637203e-15	No	No
Q9UPY8	MAPRE3	6.0072288532837	0.0003776973751253	No	No
Q9Y2S2	CRYL1	5.27251151699061	5.09780705658114e-07	No	No
Q9Y2V0	CDIN1	10.0065512698898	4.0623552897292903e-25	No	No
Q9Y448	KNSTRN	9.45171089004153	1.4933210339904002e-16	No	No
Q9Y4F3	MARF1	4.54783847553229	0.0002256115256512	No	No
Q9Y5A6	ZSCAN21	6.35360664095541	2.05892822746437e-20	No	No
Q9Y5A7	NUB1	4.17187571635468	1.58182453862915e-06	No	No
Q9Y6A5	TACC3	4.39495128044901	7.1920176810998194e-12	No	No
Q9Y6G3	MRPL42	5.54374733353874	2.00007336497634e-19	No	No
