Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	Extracellular Matrix Organization	2.698989e-27	5.092993e-24	0	0	5.549688e+00	3.395128e+02	APP;SPARC;COL12A1;SERPINE1;ITGA2B;ICAM2;LOXL3;TNC;ICAM3;PLOD3;PLOD2;F11R;LOXL1;LOXL2;COMP;EFEMP2;EFEMP1;CAPNS1;IBSP;CDH1;TNN;BSG;DAG1;CAPN2;TNR;CAPN1;PRSS2;CAST;ACTN1;P3H1;ADAM10;CASK;HSPG2;BCAN;ADAM17;ADAM15;LOX;ADAM9;PPIB;CD151;SDC4;PDGFB;HTRA1;LTBP4;PDGFA;FBLN1;LTBP2;LTBP3;NID1;FBLN2;LTBP1;NID2;FBLN5;VTN;NCSTN;SERPINH1;ELANE;COL28A1;CRTAP;TGFB2;TGFB1;VCAM1;FN1;BMP7;COL1A1;BMP4;BMP1;COL5A1;P4HA1;P4HA2;COL5A3;COL5A2;ITGA11;SDC1;FBN1;ITGB1;COL18A1;BMP10;PTPRS;ITGAM;ITGB5;COL14A1;LAMC3;NCAN;ITGB3;ITGB2;LAMC2;ITGAE;LAMC1;ITGAL;CTSS;HAPLN1;ADAMTS5;MMP25;ADAMTS2;ADAMTS1;EMILIN3;EMILIN2;CTSG;EMILIN1;ITGAV;MADCAM1;ADAMTS8;CTSD;CTSB;FGB;FGA;MMP7;ITGA4;VWF;ITGA2;FGG;MMP3;BGN;MMP9;ASPN;DCN;MMP14;VCAN;COL6A2;COL6A1;PECAM1;MMP19;COL6A3;ITGA7;COL6A6;ITGA6;CD47;ITGA5;CD44;DDR2;ITGA9;PLEC;LAMA5;COL15A1;TNXB;LAMA2;PCOLCE2;LAMA1;COL11A1;LAMA4;NRXN1;COL11A2;LAMA3;LRP4;FURIN;THBS1;ACAN;TTR;SPP1;NCAM1;LAMB2;LUM;LAMB1;MFAP5;MFAP4;COL3A1;MFAP2;TLL2;TLL1;P4HB;AGRN;FMOD
Reactome_Pathways_2024	Cap-dependent Translation Initiation	2.941115e-22	1.418065e-19	0	0	1.173708e+01	5.819020e+02	EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPLP2;RPL38;RPS11;EIF2B1;RPS10;RPS13;RPS12;EIF5B;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPS3A;RPL24;RPL27;PABPC1;RPL29;RPL28;RPL12;RPL11;RPS15A;EIF4H;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;EIF4E;RPL17;EIF4B;RPL19;EIF2B5;EIF2B4;EIF2B3;EIF2B2;RPL35A;RPL23A;EIF2S2;EIF2S1;RPS25;RPS28;EIF3M;EIF2S3;EIF5;EIF3K;EIF3L;RPL27A;EIF3I;EIF3J;EIF3G;EIF3H;RPS20;EIF3E;EIF3F;RPS21;EIF3D;RPS24;EIF3A;EIF4G1;RPS23;EIF3B
Reactome_Pathways_2024	Eukaryotic Translation Initiation	2.941115e-22	1.418065e-19	0	0	1.173708e+01	5.819020e+02	EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPLP2;RPL38;RPS11;EIF2B1;RPS10;RPS13;RPS12;EIF5B;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPS3A;RPL24;RPL27;PABPC1;RPL29;RPL28;RPL12;RPL11;RPS15A;EIF4H;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;EIF4E;RPL17;EIF4B;RPL19;EIF2B5;EIF2B4;EIF2B3;EIF2B2;RPL35A;RPL23A;EIF2S2;EIF2S1;RPS25;RPS28;EIF3M;EIF2S3;EIF5;EIF3K;EIF3L;RPL27A;EIF3I;EIF3J;EIF3G;EIF3H;RPS20;EIF3E;EIF3F;RPS21;EIF3D;RPS24;EIF3A;EIF4G1;RPS23;EIF3B
Reactome_Pathways_2024	Regulation of Expression of SLITs and ROBOs	3.005966e-22	1.418065e-19	0	0	8.420006e+00	4.172641e+02	RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;EIF4A3;RPL10A;RPL8;RPL6;RPL7;PSMD8;RPS15;RPS14;PSMD6;RPS17;PSMD7;RPS16;RPL18A;RPS19;RPL36AL;RPS18;PSMD2;PSMD3;DAG1;PSMD1;RPL38;RPS11;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPL24;RPL27;RPL29;RPL28;PSMD12;PSMD11;PSMD14;RBM8A;PSMD13;CUL2;GSPT2;GSPT1;RPS25;RPS28;RPL27A;RPS20;RPS21;RPS24;EIF4G1;RPS23;RPLP1;RPLP0;RPS4X;RPL7A;RPLP2;ELOB;ELOC;RPS3A;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;ETF1;PABPC1;RPL12;RPL11;PSMA7;PSMB6;PSMB7;PSMB4;PSMB5;RPS15A;PSMB2;PSMB3;PSMB1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;ADRM1;RPL35A;RPL23A;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2
Reactome_Pathways_2024	GTP Hydrolysis and Joining of the 60S Ribosomal Subunit	4.292703e-21	1.620066e-18	0	0	1.214959e+01	5.697840e+02	EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPLP2;RPL38;RPS11;RPS10;RPS13;RPS12;EIF5B;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL28;RPL12;RPL11;RPS15A;EIF4H;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;EIF4E;RPL17;EIF4B;RPL19;RPL35A;RPL23A;EIF2S2;EIF2S1;RPS25;RPS28;EIF3M;EIF2S3;EIF5;EIF3K;EIF3L;RPL27A;EIF3I;EIF3J;EIF3G;EIF3H;RPS20;EIF3E;EIF3F;RPS21;EIF3D;RPS24;EIF3A;EIF4G1;RPS23;EIF3B
Reactome_Pathways_2024	L13a-mediated Translational Silencing of Ceruloplasmin Expression	8.932495e-21	2.809270e-18	0	0	1.200077e+01	5.540108e+02	EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPLP2;RPL38;RPS11;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPS3A;RPL24;RPL27;PABPC1;RPL29;RPL28;RPL12;RPL11;RPS15A;EIF4H;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;EIF4E;RPL17;EIF4B;RPL19;RPL35A;RPL23A;EIF2S2;EIF2S1;RPS25;RPS28;EIF3M;EIF2S3;EIF3K;EIF3L;RPL27A;EIF3I;EIF3J;EIF3G;EIF3H;RPS20;EIF3E;EIF3F;RPS21;EIF3D;RPS24;EIF3A;EIF4G1;RPS23;EIF3B
Reactome_Pathways_2024	Nervous System Development	4.521691e-20	1.185618e-17	0	0	2.856827e+00	1.272511e+02	RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;EIF4A3;PITPNA;RPL8;RPL6;RPL7;PSMD8;RPS15;RPS14;PSMD6;RPS17;ALCAM;PSMD7;RPS16;RPL18A;RPS19;RPL36AL;RPS18;DPYSL2;PSMD2;PSMD3;DAG1;PSMD1;RPL38;RPS11;PRKACB;RPS10;RPS13;RPS12;RPL23;RPL22;UNC5C;ANK1;SHTN1;MYL6;RPL24;RPL27;RPL29;EZR;PFN1;TLN1;MYL9;RPL28;PFN2;GSPT2;KALRN;GSPT1;NCSTN;RRAS;PRKAR2A;ST8SIA4;SPTBN1;LYN;VASP;RDX;L1CAM;PTK2;SMARCA4;RPS25;RPS28;RPL27A;GRB2;RPS20;RPS21;RPS24;RPS23;NRP1;NRP2;SH3KBP1;ARPC1B;NCAN;RPLP1;ARPC1A;CLTC;RPLP0;CLTB;CLTA;AP2A1;VLDLR;WASL;PPP3CB;CHL1;RPLP2;ELOB;ELOC;RAC1;SPTAN1;GIT1;CAP1;RHOA;PSMA5;ENAH;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PABPC1;ARHGEF7;RPL12;RPL11;PSMA7;PSMB6;PSMB7;PSMB4;PAK1;PSMB5;RPS15A;RELN;PSMB2;PSMB3;GPC1;PSMB1;AP2S1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;PAK2;RPL19;AP2B1;TUBB4B;TUBB4A;COL3A1;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;AGRN;ITGA2B;RPL10A;CFL1;TUBB1;NRCAM;AP2M1;RPS9;MAP2K2;RPS7;RPS8;RPS5;SEMA6D;RPS6;ADAM10;RPSA;TUBA4B;TUBA4A;DOK2;UTRN;PSMD12;PSMD11;PSMD14;RBM8A;PSMD13;CUL2;SPTA1;EFNB1;SDCBP;ADGRG6;HSPA8;PRNP;MSN;ARPC4;ARPC5;DLG1;PTPRC;ARPC2;COL5A1;ARPC3;PTPRA;COL5A3;COL5A2;PLXNB1;EIF4G1;TUBA8;FGFR1;ITGB1;HSP90AB1;ITGB3;TREM2;LAMC1;RPS4X;RPL7A;NCK2;ITGAV;NEO1;ACTR3;ACTR2;HSP90AA1;ITGA2;RPS3A;SPTB;MMP9;DNM1;DNM2;COL6A2;COL6A1;NUMB;COL6A3;MYH9;ETF1;COL6A6;ITGA5;ITGA9;ROCK1;LAMA2;TUBAL3;ROCK2;SRC;LAMA1;CDC42;MAPK1;FYN;NCAM1;PDLIM7;ADRM1;RPL35A;PTPN11;RPL23A;LAMB1;NELL2;KRAS
Reactome_Pathways_2024	Axon Guidance	5.026468e-20	1.185618e-17	0	0	2.885711e+00	1.282323e+02	RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;EIF4A3;PITPNA;RPL8;RPL6;RPL7;PSMD8;RPS15;RPS14;PSMD6;RPS17;ALCAM;PSMD7;RPS16;RPL18A;RPS19;RPL36AL;RPS18;DPYSL2;PSMD2;PSMD3;DAG1;PSMD1;RPL38;RPS11;PRKACB;RPS10;RPS13;RPS12;RPL23;RPL22;UNC5C;ANK1;SHTN1;MYL6;RPL24;RPL27;RPL29;EZR;PFN1;TLN1;MYL9;RPL28;PFN2;GSPT2;KALRN;GSPT1;NCSTN;RRAS;PRKAR2A;ST8SIA4;SPTBN1;LYN;VASP;RDX;L1CAM;PTK2;RPS25;RPS28;RPL27A;GRB2;RPS20;RPS21;RPS24;RPS23;NRP1;NRP2;SH3KBP1;ARPC1B;NCAN;RPLP1;ARPC1A;CLTC;RPLP0;CLTB;CLTA;AP2A1;VLDLR;WASL;PPP3CB;CHL1;RPLP2;ELOB;ELOC;RAC1;SPTAN1;GIT1;CAP1;RHOA;PSMA5;ENAH;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PABPC1;ARHGEF7;RPL12;RPL11;PSMA7;PSMB6;PSMB7;PSMB4;PAK1;PSMB5;RPS15A;RELN;PSMB2;PSMB3;GPC1;PSMB1;AP2S1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;PAK2;RPL19;AP2B1;TUBB4B;TUBB4A;COL3A1;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;AGRN;ITGA2B;RPL10A;CFL1;TUBB1;NRCAM;AP2M1;RPS9;MAP2K2;RPS7;RPS8;RPS5;SEMA6D;RPS6;ADAM10;RPSA;TUBA4B;TUBA4A;DOK2;PSMD12;PSMD11;PSMD14;RBM8A;PSMD13;CUL2;SPTA1;EFNB1;SDCBP;HSPA8;PRNP;MSN;ARPC4;ARPC5;DLG1;PTPRC;ARPC2;COL5A1;ARPC3;PTPRA;COL5A3;COL5A2;PLXNB1;EIF4G1;TUBA8;FGFR1;ITGB1;HSP90AB1;ITGB3;TREM2;LAMC1;RPS4X;RPL7A;NCK2;ITGAV;NEO1;ACTR3;ACTR2;HSP90AA1;ITGA2;RPS3A;SPTB;MMP9;DNM1;DNM2;COL6A2;COL6A1;NUMB;COL6A3;MYH9;ETF1;COL6A6;ITGA5;ITGA9;ROCK1;TUBAL3;ROCK2;SRC;LAMA1;CDC42;MAPK1;FYN;NCAM1;PDLIM7;ADRM1;RPL35A;PTPN11;RPL23A;LAMB1;NELL2;KRAS
Reactome_Pathways_2024	Infectious Disease	1.041045e-19	2.182725e-17	0	0	2.114079e+00	9.240404e+01	CYFIP2;RPL4;CYFIP1;NCKAP1;RPL5;RPL30;RPL3;RPL31;WIPF1;RPL34;IGHV3-23;SERPINE1;ENO1;RPL8;RPL6;RPL7;PSMD8;PSMD6;PSMD7;IGKV1-16;IGKV1-17;AKT2;PSMD2;PSMD3;AP1S2;PSMD1;AP1S1;RPL38;PRKACB;VPS36;IGHV3-9;NUP214;RPL23;RPL22;HSPG2;ACE2;DYNC1LI1;PRKAR1A;MAP1B;RPL24;RPL27;RPL29;RPL28;VPS25;VPS28;RPN2;RPN1;NEDD4L;LARP1;PRKAR2B;PRKAR2A;PLCG2;SFN;NCKAP1L;ST3GAL1;LYN;GSDMD;SNF8;HNRNPK;H2AC21;NMT1;RPLP1;ARPC1B;RPLP0;ARPC1A;CLTC;CLTA;RPLP2;ELOB;ELOC;IFNGR1;DYNLL1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;RPL12;RPL11;PSMA7;PSMB6;PSMB7;PSMB4;PSMB5;RPS15A;PSMB2;PSMB3;IGLV3-22;PSMB1;AP2S1;RPL14;RPS3;ANO10;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;STAT1;TUBB4B;TUBB4A;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;ABI1;AGRN;CTNND1;RPL10A;IPO5;PPP1CB;PYCARD;IGHG4;PPP1CC;FNTA;CDH1;TUBB1;KPNA4;KPNA3;AP2M1;KPNA1;MAP2K3;RPS9;MAP2K2;RPS7;RPS8;RPS5;RPS6;RPSA;TUBA4B;TUBA4A;NCL;SNRPE;SNRPF;FKBP4;KPNB1;IFNAR1;RAB5B;RAB5C;CUL5;CUL3;ITPR1;LY96;CORO1A;TKFC;IGLV1-40;G3BP1;TPR;G3BP2;PGK1;IGLV2-18;AP1M2;AP1M1;ARPC4;ARPC5;EEF2;NFKB1;NFKB2;ARPC2;ARPC3;RAB5A;BCL2L1;TUBA8;ITGB1;HSP90AB1;IGHV1-2;BRK1;RPL7A;AP1G1;MBL2;ACTR3;ACTR2;HSP90AA1;PDCD6IP;ITGA4;VPS37C;RANGAP1;DDOST;DNAJC3;DAD1;LCK;SLC25A5;SLC25A6;SEC23A;ROCK1;ROCK2;SRC;VPS4B;VPS4A;FURIN;CDC42;GANAB;RBBP4;POLR2D;FYN;POLR2G;POLR2H;RBBP7;WASF2;TXNRD1;ADRM1;RPL35A;RPL23A;PTPN11;BAIAP2;FCGR2A;MYO1C;IMPDH2;MGAT4B;PTPN6;CD247;VPS45;SEC24D;SEC24C;APP;ANTXR2;ANTXR1;RPS15;RPS14;RPS17;RPS16;SNRPD2;TRIM28;RPL18A;RPS19;RPL36AL;RPS18;TRIM25;SNRPD3;RPS11;GOLGA7;RPS10;RPS13;RPS12;SKP1;IL1R1;ENTPD5;AP1B1;HLA-B;HLA-C;HLA-A;HLA-E;BTK;IGLV10-54;SDC4;PCBP2;CD14;XRCC6;XRCC5;NMI;STAM;GNG12;GNG11;PTK2;BST2;RPS25;RPS28;RPL27A;SDC1;GRB2;RPS20;CALR;RPS21;RPS24;RPS23;IGHM;NRP1;SH3KBP1;AP2A1;WASL;XPO1;IGLV7-46;CTSG;RAC1;DLAT;TOMM70;SEC13;SYK;PARP1;PRMT1;TUBB;IL18;ANO6;HCK;PACS1;CANX;RAB7A;TLR2;DYNC1I2;GNAI3;WAS;RELA;GNAI2;PTPA;NT5E;IGKC;GPC1;MGAT5;MGAT1;GPC4;MGAT2;EPS15;GPC6;PAK2;BCAP31;DYNC1H1;RANBP1;NPM1;PTGES3;AP2B1;PPP1CA;FKBP1A;TJP1;SPCS3;COMT;BANF1;GGT1;IL6R;SH3GL1;ATP1B3;ATP1B1;TUFM;ADAM17;HGS;TBL1XR1;DPEP2;ELMO1;CHMP4B;MASP2;CHMP4A;MASP1;UBE2V1;PPIB;PPIA;ISCU;GNAZ;DDX5;PSMD12;VCP;PSMD11;TSG101;PSMD14;PSMD13;NCKIPSD;IGLV6-57;MAN2A1;ATP6V1H;HSPA8;UBE2I;TGFB1;VTA1;CBX1;HMGA1;ISG15;MAVS;GNB2;GNB1;GNAS;GNB4;STT3A;UBE2N;CHMP2A;YWHAE;PRKCSH;YWHAB;CHD4;IGLV4-60;RPS4X;YWHAQ;IGLV4-3;IGLC3;YWHAG;YWHAH;RPS3A;YWHAZ;FGR;SFPQ;MYH2;CHMP3;MYH9;MAN1B1;CHMP6;CHMP5;TUBAL3;IGLV3-1;ATP1A1;GNG2;GNG5;MAPK1;NUP43;TAF15;GALNT1;IGKV5-2;MAPK14;CD9;SUGT1;RAN
Reactome_Pathways_2024	Signaling by ROBO Receptors	1.390694e-19	2.441214e-17	0	0	5.117042e+00	2.221785e+02	RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;EIF4A3;RPL8;RPL10A;RPL6;RPL7;PSMD8;RPS15;RPS14;PSMD6;RPS17;PSMD7;RPS16;RPL18A;RPS19;RPL36AL;RPS18;PSMD2;PSMD3;DAG1;PSMD1;RPL38;RPS11;PRKACB;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPL24;RPL27;PFN1;RPL29;RPL28;PFN2;PSMD12;PSMD11;PSMD14;RBM8A;PSMD13;CUL2;GSPT2;GSPT1;PRKAR2A;VASP;RPS25;RPS28;RPL27A;RPS20;RPS21;RPS24;RPS23;EIF4G1;NRP1;RPLP1;RPLP0;RPS4X;RPL7A;PPP3CB;NCK2;RPLP2;ELOB;ELOC;RAC1;CAP1;RPS3A;RHOA;ENAH;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;ETF1;PABPC1;SRC;RPL12;RPL11;PSMA7;PSMB6;CDC42;PSMB7;PAK1;PSMB4;PSMB5;RPS15A;PSMB2;PSMB3;GPC1;PSMB1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;PAK2;RPL17;RPL19;ADRM1;RPL35A;RPL23A;NELL2;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2
