Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	Extracellular Matrix Organization	7.963788e-38	1.318803e-34	0	0	6.812152e+00	5.819167e+02	APP;SPARC;COL12A1;SERPINE1;ITGA2B;ICAM2;LOXL3;TNC;PLOD3;F11R;LOXL1;COMP;EFEMP2;EFEMP1;CAPNS1;IBSP;CDH1;TNN;BSG;DAG1;CAPN2;CAPN1;PRSS2;CAST;ACTN1;P3H1;ADAM10;HSPG2;BCAN;ADAM17;ADAM15;LOX;PPIB;CD151;SDC4;HTRA1;LTBP4;PDGFA;FBLN1;LTBP2;LTBP3;NID1;FBLN2;LTBP1;NID2;FBLN5;VTN;SERPINH1;CRTAP;TGFB2;TGFB1;VCAM1;FN1;BMP7;COL1A1;BMP1;COL5A1;P4HA1;P4HA2;COL5A3;COL5A2;SDC1;FBN1;ITGB1;COL18A1;BMP10;PTPRS;ITGAM;ITGB5;COL14A1;NCAN;ITGB3;ITGB2;ITGAE;LAMC1;ITGAL;CTSS;HAPLN1;ADAMTS5;MMP25;ADAMTS1;EMILIN3;EMILIN2;CTSG;EMILIN1;ITGAV;MADCAM1;ADAMTS8;CTSD;CTSB;FGB;FGA;MMP7;ITGA4;VWF;MMP1;ITGA2;MMP2;FGG;ITGA1;MMP3;BGN;MMP9;ASPN;DCN;MMP14;VCAN;COL6A2;COL6A1;PECAM1;MMP19;COL6A3;ITGA7;COL6A6;ITGA6;CD47;ITGA5;CD44;DDR2;PLEC;LAMA5;COL15A1;TNXB;LAMA2;PCOLCE2;LAMA1;LAMA4;NRXN1;COL11A2;FURIN;THBS1;ACAN;TTR;SPP1;NCAM1;JAM3;LAMB2;LUM;LAMB1;MFAP5;MFAP4;COL3A1;MFAP2;TLL2;TLL1;P4HB;AGRN;FMOD
Reactome_Pathways_2024	Neutrophil Degranulation	1.822575e-25	1.509092e-22	0	0	2.995749e+00	1.706510e+02	CYFIP1;GMFG;LGALS3;PSMD6;PSMD7;PNP;PSMD2;FTH1;PSMD1;CPNE3;PRSS2;ARSA;PRKCD;HLA-B;HLA-C;UNC13D;DYNC1LI1;FLG2;BIN2;TMEM63A;IQGAP1;IQGAP2;GNS;CYB5R3;PRDX4;NEU1;S100A12;MLEC;NCKAP1L;CD14;S100A11;ATP6V0A1;CTSA;VAT1;SURF4;PRG2;NBEAL2;PA2G4;PRG3;PRDX6;DERA;BST2;TCN1;TOLLIP;GPI;PYGB;SLC44A2;PTPRJ;PYGL;CTSS;MMP25;CTSH;CTSG;QSOX1;CD36;RAC1;CTSD;SPTAN1;CTSC;CTSB;CAP1;CCT2;SERPINB1;DBNL;FCER1G;ANXA2;ARG1;GAA;TUBB;RHOG;ANO6;SERPINB6;APRT;PSMA5;VAMP8;RAP2B;PSMA2;PLEKHO2;CD47;ATP6V0C;PAFAH1B2;CD44;RAB7A;CD63;CSTB;ASAH1;SERPINB12;CAB39;PSMB7;PGRMC1;CREG1;PSMB1;CD59;CCT8;CD55;DYNC1H1;GCA;HUWE1;LILRB2;TUBB4B;ERP44;PSMC3;QPCT;PSMC2;LAMTOR2;LAMTOR1;LAMTOR3;FCN1;ATP8A1;APEH;MPO;STK10;TOM1;COTL1;CAPN1;OSTF1;ACAA1;GYG1;CD93;IST1;ADAM10;ILF2;ACLY;DOK3;RAB37;PRTN3;DSC1;S100A9;PPIA;KPNB1;S100A8;VCL;FTL;S100A7;RAB5B;PSMD12;VCP;RAB5C;PSMD11;PSMD14;PSMD13;COPB1;UBR4;CNN2;SDCBP;RAP1A;PSAP;RAB6A;AP1M1;TXNDC5;HSPA8;RAB4B;IDH1;ARPC5;C6ORF120;IGF2R;DIAPH1;PTPRB;PTPRC;SELL;MAN2B1;HPSE;HSP90AB1;ITGAM;B4GALT1;DDX3X;TNFAIP6;ITGB2;SNAP23;SLC2A3;ITGAL;ALAD;ADGRE5;NAPRT;PGM2;ITGAV;SNAP29;PGM1;DSP;ACTR2;HSP90AA1;RNASET2;ATP6AP2;MMP9;DDOST;CKAP4;DNAJC3;PKM;TMBIM1;CAT;PECAM1;DSG1;CANT1;ROCK1;MVP;RETN;TTR;CAND1;STOM;TMEM30A;CMTM6;MAPK14;RAB10;PFKL;TSPAN14;FCGR2A;RAB14;VAPA;GLB1;IMPDH2;P2RX1;RAB18;PTPN6;PTX3;S100P
Reactome_Pathways_2024	Immune System	7.799552e-24	4.305353e-21	0	0	1.945965e+00	1.035409e+02	CYFIP1;NCKAP1;WIPF1;GMFG;C4BPA;C4BPB;PSMD8;PSMD6;PSMD7;IGKV1-16;IGKV1-17;PSMD2;PSMD1;PRSS2;PRKACB;IGHV3-9;PRKCB;IGHV3-33;PRKCD;UNC13D;FLG2;DYNC1LI1;MTAP;BIN2;SERPING1;PSME2;NLRX1;SAR1B;IQGAP1;IQGAP2;GNS;PPP3R1;CYB5R3;PRDX4;C9;S100A12;NCKAP1L;S100A11;LYN;FN1;LNPEP;PA2G4;PRDX6;COL1A1;TREML1;TCN1;TOLLIP;TREML2;HLA-DRB1;LGMN;GPI;PYGB;ARPC1B;RPLP0;CLTC;CLTA;PYGL;MRC2;MMP25;ELOB;ELOC;IKBKG;SERPINB1;ANXA1;DUSP3;ANXA2;ARG1;GSTO1;F2;SERPINB6;PSMA5;VAMP8;FCER2;PSMA6;PSMA3;IGLV3-16;PSMA4;VAMP7;PSMA1;PSMA2;TCP1;PLEKHO2;PAFAH1B2;ASAH1;SERPINB12;PSMA7;PSMB6;PSMB7;PSMB4;PSMB5;PSMB2;PSMB3;IGLV3-22;PSMB1;AP2S1;FLNA;STX4;STAT1;STAT3;TUBB4B;TUBB4A;PSMB8;ERP44;COL3A1;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;ABI1;HLA-DPB1;LAMTOR2;LAMTOR1;LAMTOR3;CSF1;ATP8A1;PROS1;APEH;CLU;STK10;NPEPPS;CDH1;GRAP2;CFL1;TUBB1;TOM1;GYG1;IST1;TAP2;TAP1;ILF2;TUBA4B;TUBA4A;ACLY;ILF3;STIM1;RAB37;S100A9;DSC1;S100A8;KPNB1;FTL;S100A7;CSF1R;RAB5B;RAB5C;CUL3;ITPR1;UBR4;ITPR2;LY96;KLC1;HSP90B1;VTN;RAP1A;TKFC;IGLV2-14;PSAP;IGLV2-18;RAB6A;TXNDC5;AP1M1;RAB4B;ARPC4;ARPC5;C6ORF120;PTPRB;PTPRC;ARPC2;ARPC3;TPP2;HPSE;EIF4G2;EIF4G1;TUBA8;ITGB1;HSP90AB1;ITGAM;ITGB5;SNAP23;ITGB2;BRK1;TREM2;ITGAL;TNFSF13B;ALAD;CAPZB;AP1G1;PGM2;ITGAV;LBP;SNAP29;PGM1;PRKG1;MBL2;DSP;ACTR3;ACTR2;HSP90AA1;ITGA4;RNASET2;IGKV3D-20;DDOST;DNAJC3;PPM1B;PKM;TMBIM1;PECAM1;DSG1;LCP2;LCP1;SEC22B;CRP;SEC23A;CANT1;C1S;ROCK1;C1R;SRC;ITLN1;IGHV3-48;CDC42;TTR;PTPRZ1;HECTD3;FYN;CSK;EIF4E;RILP;WASF2;WASF3;PTPN1;PTPN18;PTPN12;RAB10;PFKL;TSPAN14;MYO1C;FCGR2A;RAB14;VAPA;IMPDH2;P2RX1;RAB18;PTPN6;P4HB;SEC24C;NECTIN2;IFITM3;EIF4A2;APP;EIF4A1;IFITM2;ICAM2;IFI35;IFI30;CRKL;UBE2L3;IL27RA;C4B;C4A;LGALS3;BPIFA1;PNP;PPP2R1A;FTH1;TRIM25;CPNE3;LGALS9;ATP6V1E1;FBXO7;ICOSLG;SKP1;ARSA;ATP6V1G1;MUCL1;IL1R1;HLA-B;AP1B1;HLA-C;TALDO1;HLA-A;HLA-E;IFI27;BTK;CD226;IGLV10-54;TMEM63A;EBI3;STXBP2;UBE2J1;PCBP2;NEU1;MLEC;CD14;SEC31A;ATP6V0A1;CTSA;VASP;VAT1;SURF4;TNFSF13;PRG2;NBEAL2;PRG3;PTK2;UBAC1;DERA;BST2;BPIFB1;SDC1;GRB2;CALR;IGHM;SLC44A2;AP2A1;PTPRJ;CTSS;PPP3CA;ACTR1A;ARIH2;RAC2;CTSH;QSOX1;CTSG;CD36;RAC1;CTSF;CTSD;CD34;SPTAN1;CTSC;CTSB;TOMM70;CAP1;CCT2;FCER1G;DBNL;SYK;TUBB;GAA;RHOG;ANO6;PDCD1LG2;APRT;RAP2B;KIF2A;CANX;CD47;CD46;ATP6V0C;CD44;RAB7A;LILRA6;CSTB;CD63;DYNC1I2;CAB39;IFI6;WAS;CPN2;RELA;CPN1;PGRMC1;PAK1;IGKC;CREG1;CD59;CCT8;PAK2;CD55;BCAP31;CD74;DYNC1H1;GCA;IGKV1-5;HUWE1;AP2B1;LILRB2;LILRB5;FKBP1A;CAPZA1;QPCT;CFHR4;CAPZA2;CFHR5;FCN1;CD81;UBE2Z;MPO;KIF5B;COTL1;CAPN1;OSTF1;ACAA1;IL6R;PDIA3;CD96;CD93;ADAM10;ADAM17;DOK3;CD8A;MASP2;PRTN3;MASP1;PPIA;VCL;ATP6V1A;PSMD12;VCP;PSMD11;PSMD14;UBA7;PSMD13;COPB1;UBA5;PLD4;RASGRP2;PLD3;CNN2;NCKIPSD;SDCBP;IGLV6-57;ATP6V1H;CD99;HSPA9;RAP1GAP2;HSPA8;UBE2H;TGFB1;VCAM1;HSPA5;IDH1;CRTAM;MSN;EIF2S1;IGF2R;DIAPH1;MAVS;SELL;UBA3;UBE2O;MAN2B1;UBA1;BLMH;IL7R;UBE2K;MUC20;DDX3X;B4GALT1;TNFAIP6;PRKCSH;YWHAB;SLC2A3;YBX1;LMNB1;IGKV2-29;ADGRE5;NAPRT;MADCAM1;LRRFIP1;FGB;FGA;DCD;MMP1;MMP2;ATP6AP2;FGG;MMP3;MMP9;YWHAZ;DNM1;CKAP4;TAPBP;DNM2;OAS3;CAT;ATP6V1B2;MYH9;CAMK2B;LAMA5;USP14;COLEC11;RALA;COLEC10;TUBAL3;DCTN2;DCTN1;MVP;DCTN4;DCTN3;CAMK2A;RETN;IL1RL1;MUC1;CAND1;STOM;NCAM1;SNCA;CHGA;TMEM30A;IGKV5-2;CMTM6;SOD2;S100B;MAPK14;TEC;GLB1;S100P;PTX3;VIM
Reactome_Pathways_2024	Innate Immune System	1.682871e-23	6.967087e-21	0	0	2.197869e+00	1.152540e+02	CYFIP1;NCKAP1;APP;WIPF1;GMFG;ICAM2;C4BPA;C4BPB;PSMD8;C4B;C4A;LGALS3;PSMD6;BPIFA1;PSMD7;PNP;IGKV1-16;IGKV1-17;PPP2R1A;PSMD2;FTH1;PSMD1;TRIM25;CPNE3;ATP6V1E1;PRKACB;PRSS2;IGHV3-9;SKP1;ARSA;ATP6V1G1;MUCL1;IGHV3-33;PRKCD;HLA-B;HLA-C;UNC13D;HLA-E;FLG2;DYNC1LI1;BIN2;BTK;SERPING1;IGLV10-54;NLRX1;TMEM63A;IQGAP1;IQGAP2;GNS;PPP3R1;CYB5R3;PRDX4;C9;NEU1;PCBP2;S100A12;MLEC;NCKAP1L;CD14;S100A11;ATP6V0A1;LYN;CTSA;VAT1;SURF4;PRG2;NBEAL2;PRG3;PA2G4;PRDX6;PTK2;DERA;BST2;BPIFB1;TCN1;TOLLIP;GRB2;LGMN;GPI;PYGB;SLC44A2;ARPC1B;PTPRJ;PYGL;CTSS;PPP3CA;MMP25;RAC2;CTSH;CTSG;QSOX1;IKBKG;CD36;RAC1;CTSD;SPTAN1;CTSC;CTSB;CAP1;TOMM70;CCT2;SERPINB1;DUSP3;DBNL;FCER1G;SYK;ANXA2;ARG1;GAA;TUBB;RHOG;ANO6;F2;APRT;SERPINB6;PSMA5;VAMP8;PSMA6;PSMA3;PSMA4;RAP2B;IGLV3-16;PSMA1;PSMA2;CD47;PLEKHO2;CD46;ATP6V0C;PAFAH1B2;CD44;RAB7A;CD63;CSTB;SERPINB12;ASAH1;CAB39;WAS;PSMA7;CPN2;RELA;CPN1;PSMB6;PSMB7;PSMB4;PAK1;PGRMC1;PSMB5;PSMB2;IGKC;PSMB3;CREG1;IGLV3-22;PSMB1;CD59;CCT8;PAK2;CD55;DYNC1H1;GCA;IGKV1-5;HUWE1;LILRB2;TUBB4B;ERP44;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;CFHR4;CAPZA1;QPCT;PSMC2;ABI1;CAPZA2;CFHR5;LAMTOR2;LAMTOR1;LAMTOR3;FCN1;ATP8A1;CD81;PROS1;APEH;MPO;CLU;STK10;GRAP2;CFL1;TOM1;COTL1;CAPN1;OSTF1;ACAA1;GYG1;CD93;IST1;ADAM10;ILF2;ACLY;DOK3;RAB37;MASP2;PRTN3;MASP1;DSC1;S100A9;PPIA;KPNB1;S100A8;VCL;FTL;S100A7;ATP6V1A;PSMD12;VCP;RAB5B;PSMD11;RAB5C;PSMD14;UBA7;PSMD13;COPB1;ITPR1;UBR4;LY96;PLD4;ITPR2;RASGRP2;PLD3;HSP90B1;CNN2;NCKIPSD;VTN;SDCBP;RAP1A;TKFC;IGLV6-57;IGLV2-14;PSAP;IGLV2-18;ATP6V1H;RAB6A;TXNDC5;AP1M1;HSPA8;RAB4B;IDH1;ARPC4;ARPC5;C6ORF120;IGF2R;DIAPH1;PTPRB;MAVS;PTPRC;ARPC2;SELL;ARPC3;UBA3;MAN2B1;HPSE;MUC20;UBE2K;HSP90AB1;ITGAM;DDX3X;B4GALT1;TNFAIP6;PRKCSH;ITGB2;SNAP23;BRK1;TREM2;SLC2A3;ITGAL;ALAD;ADGRE5;IGKV2-29;NAPRT;PGM2;ITGAV;LRRFIP1;LBP;SNAP29;PGM1;MBL2;ACTR3;DSP;FGB;ACTR2;FGA;HSP90AA1;DCD;RNASET2;ATP6AP2;FGG;IGKV3D-20;MMP9;DDOST;CKAP4;DNM1;DNM2;DNAJC3;PKM;TMBIM1;CAT;ATP6V1B2;PECAM1;DSG1;MYH9;LCP2;CRP;COLEC11;USP14;COLEC10;CANT1;C1S;ROCK1;C1R;SRC;MVP;ITLN1;IGHV3-48;RETN;CDC42;MUC1;CAND1;TTR;STOM;FYN;WASF2;WASF3;CHGA;TMEM30A;IGKV5-2;CMTM6;MAPK14;S100B;RAB10;TSPAN14;PFKL;FCGR2A;MYO1C;TEC;RAB14;VAPA;GLB1;IMPDH2;P2RX1;RAB18;PTPN6;PTX3;S100P
Reactome_Pathways_2024	ECM Proteoglycans	2.871064e-18	9.508965e-16	0	0	1.324612e+01	5.350353e+02	ITGB1;APP;PTPRS;SPARC;ITGB5;ITGB3;NCAN;ITGA2B;SERPINE1;TNC;LAMC1;HAPLN1;COMP;IBSP;TNN;DAG1;ITGAV;ITGA2;BGN;HSPG2;ASPN;DCN;BCAN;VCAN;COL6A2;COL6A1;COL6A3;ITGA7;COL6A6;LAMA5;TNXB;LAMA2;LAMA1;LAMA4;ACAN;VTN;NCAM1;TGFB2;TGFB1;LAMB2;LUM;FN1;LAMB1;COL1A1;COL3A1;COL5A1;COL5A3;COL5A2;AGRN;FMOD
Reactome_Pathways_2024	Hemostasis	5.947842e-18	1.428308e-15	0	0	2.324253e+00	9.218801e+01	APP;SPARC;SERPINE2;SERPINE1;F11R;ISLR;IGKV1-16;IGKV1-17;PPP2R1A;BSG;PRKACB;IGHV3-9;PRKCB;IGHV3-33;ACTN1;PRKCD;ACTN4;GTPBP2;SYTL4;FCAMR;PRKAR1A;CD109;SERPING1;TAGLN2;PFN1;TLN1;IGLV10-54;SDC4;STXBP3;STXBP2;ENDOD1;PDGFA;CD99L2;GLG1;CYB5R1;ADAMTS13;PRKAR2B;PRKAR2A;IGHA1;LYN;CARMIL1;FN1;RAB27B;GP6;L1CAM;GNG12;GP5;GNG11;PTK2;MANF;COL1A1;EHD1;GP9;EHD3;CALU;SDC1;GRB2;HRG;FERMT3;IGHM;ECM1;OLA1;CTSW;SERPINA5;C1QBP;KIF13B;RAC2;TIMP3;QSOX1;CD36;RAC1;PF4V1;CAP1;FCER1G;ANXA2;SYK;GP1BB;ANXA5;RHOG;GP1BA;F2;F5;SERPINB6;F7;F8;F9;IGLV3-16;KIF2A;CD48;CD47;GAS6;MGLL;CD44;TOR4A;CD63;SELPLG;GNAI3;GNAI2;IGKC;IGLV3-22;GPC1;FLNA;SPP2;STX4;LY6G6F;JAM3;CD74;F10;SERPIND1;IGKV1-5;VEGFC;VEGFD;LHFPL2;TUBB4B;TUBB4A;CAPZA1;CAPZA2;PF4;CD84;PROS1;ITGA2B;CLU;KIF5B;CFL1;TUBB1;SLC16A3;APLP2;IRAG1;ATP1B3;TUBA4B;TUBA4A;DOK2;TMX3;STIM1;SELENOP;PRTN3;SCG3;PPIA;VCL;ITPR1;AK3;ITPR2;KLC1;RASGRP2;KNG1;RAP1A;IGLV6-57;IGLV2-14;PSAP;IGLV2-18;CD99;TGFB2;TGFB1;HSPA5;CYRIB;SELP;SCCPDH;PROC;SELL;GNAQ;GNAS;GNB4;ESAM;TUBA8;ITGB1;LGALS3BP;ITGAM;WDR1;ITGB3;DOCK8;ITGB2;PLEK;ATP2A3;ATP2A2;ARRB1;ITGAL;SPN;THBD;CAPZB;IGKV2-29;ITGAV;CLEC1B;PRKG1;FGB;SRGN;ABCC4;FGA;ITGA4;VWF;MMP1;ITGA2;ITGA1;FGG;IGKV3D-20;PLA2G4A;YWHAZ;MMRN1;PECAM1;ITGA6;LCP2;PDE5A;ITGA5;ITIH3;TUBAL3;SRC;IGHV3-48;SRI;TFPI;THBS1;TTN;CDC42;GNA13;GNG2;GNG5;CSK;FYN;PTPN1;ANGPT1;EGF;PCDH7;IGKV5-2;MAPK14;CD2;P2RX1;CD9;PTPN6
Reactome_Pathways_2024	Response to Elevated Platelet Cytosolic Ca2+	6.037535e-18	1.428308e-15	0	0	4.998717e+00	1.981918e+02	LGALS3BP;APP;ECM1;SPARC;WDR1;PROS1;ITGB3;ITGA2B;SERPINE1;PLEK;OLA1;CTSW;CLU;ISLR;CFL1;TIMP3;QSOX1;CD36;CAP1;FGB;SRGN;ABCC4;FGA;VWF;PRKCB;ACTN1;APLP2;ANXA5;FGG;ACTN4;GTPBP2;SYTL4;TUBA4A;F5;F8;TMX3;MMRN1;CD109;SELENOP;PECAM1;SERPING1;SCG3;TAGLN2;PFN1;TLN1;GAS6;PPIA;VCL;TOR4A;CD63;ITIH3;STXBP3;STXBP2;ENDOD1;PDGFA;THBS1;KNG1;TTN;CYB5R1;PSAP;FLNA;SPP2;STX4;LY6G6F;TGFB2;TGFB1;HSPA5;EGF;PCDH7;FN1;VEGFC;RAB27B;VEGFD;LHFPL2;CYRIB;MANF;SELP;SCCPDH;CALU;CD9;HRG;FERMT3;PF4
Reactome_Pathways_2024	Platelet Activation, Signaling and Aggregation	1.629666e-17	3.373409e-15	0	0	3.272248e+00	1.264906e+02	APP;SPARC;PROS1;SERPINE1;ITGA2B;CLU;ISLR;CFL1;PRKCB;ACTN1;APLP2;PRKCD;ACTN4;GTPBP2;SYTL4;TUBA4A;TMX3;CD109;SELENOP;SERPING1;TAGLN2;SCG3;PFN1;TLN1;PPIA;VCL;STXBP3;STXBP2;ENDOD1;ITPR1;PDGFA;ITPR2;RASGRP2;KNG1;CYB5R1;RAP1A;PSAP;LYN;TGFB2;TGFB1;HSPA5;FN1;RAB27B;GNG12;GP6;CYRIB;GNG11;GP5;PTK2;MANF;COL1A1;SELP;GP9;SCCPDH;GNAQ;CALU;GNB4;GRB2;HRG;FERMT3;LGALS3BP;ECM1;WDR1;ITGB3;PLEK;OLA1;CTSW;ARRB1;RAC2;TIMP3;QSOX1;CD36;RAC1;CLEC1B;CAP1;FGB;SRGN;ABCC4;FGA;FCER1G;SYK;VWF;GP1BB;ANXA5;FGG;RHOG;PLA2G4A;GP1BA;F2;YWHAZ;F5;F8;MMRN1;PECAM1;LCP2;GAS6;MGLL;TOR4A;CD63;ITIH3;SRC;GNAI3;THBS1;GNAI2;TTN;CDC42;GNA13;GNG2;GNG5;FLNA;SPP2;STX4;CSK;FYN;LY6G6F;PTPN1;EGF;PCDH7;VEGFC;VEGFD;LHFPL2;MAPK14;CD9;PTPN6;PF4
Reactome_Pathways_2024	Platelet Degranulation	3.429787e-17	6.310808e-15	0	0	4.934968e+00	1.870918e+02	LGALS3BP;APP;ECM1;SPARC;WDR1;PROS1;ITGB3;ITGA2B;SERPINE1;PLEK;OLA1;CTSW;CLU;ISLR;CFL1;TIMP3;QSOX1;CD36;CAP1;FGB;SRGN;ABCC4;FGA;VWF;ACTN1;APLP2;ANXA5;FGG;ACTN4;GTPBP2;SYTL4;TUBA4A;F5;F8;TMX3;MMRN1;CD109;SELENOP;PECAM1;SERPING1;SCG3;TAGLN2;PFN1;TLN1;GAS6;PPIA;VCL;TOR4A;CD63;ITIH3;STXBP2;ENDOD1;PDGFA;THBS1;KNG1;TTN;CYB5R1;PSAP;FLNA;SPP2;LY6G6F;TGFB2;TGFB1;HSPA5;EGF;PCDH7;FN1;VEGFC;RAB27B;VEGFD;LHFPL2;CYRIB;MANF;SELP;SCCPDH;CALU;CD9;HRG;FERMT3;PF4
Reactome_Pathways_2024	Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	5.154539e-17	8.535916e-15	0	0	5.908959e+00	2.216100e+02	APP;CSF1;PRKCSH;SERPINA10;TNC;PCSK9;MIA3;LAMC1;PRSS23;C4A;LGALS1;CDH2;CTSG;QSOX1;CHGB;IGFBP1;FGA;IGFBP4;MMP1;APLP2;MMP2;FGG;ADAM10;F2;PDIA6;APOA5;CKAP4;F5;DNAJC3;RCN1;VCAN;VGF;PAPPA;SPARCL1;FAM20C;VWA1;SCG3;IGFALS;FAM20A;GAS6;MFGE8;SCG2;PAPPA2;ITIH2;LTBP1;FSTL1;KNG1;HSP90B1;TGOLN2;STC2;SPP1;SPP2;APOE;APOL1;SERPIND1;GOLM1;LAMB2;TMEM132A;FN1;LAMB1;CP;PROC;CALU;HRC;NUCB1;MELTF;NOTUM;P4HB;FBN1
